"Title","Medline PMID","PUI"
"Efficacy of a ten day course of ceftriaxone compared to a shortened five day course in the treatment of community-acquired pneumonia in hospitalized adults with risk factors",,L34763793
"Stool antigen assay to screen Helicobacter pylori infection and to assess the success of 3-day and 7-day eradication therapy in the patients with partial gastrectomy",12047326,L34665838
"A randomized, multicenter study of G-CSF starting on day +1 vs day +5 after autologous peripheral blood progenitor cell transplantation",12040471,L34618905
"Treatment of acute bacteria sinusitis of outpatients compared the 5-days and 10-days course with cefuroxim axetil (CAE)",,L34309199
"Telephone consultations to manage requests for same-day appointments: A randomised controlled trial in two practices",11942448,L35021406
"Five day clarithromycin modified release versus 10 day penicillin V for group A streptococcal pharyngitis: A multi-centre, open-label, randomized study",11815577,L34162626
"Short-term (48 hours) versus long-term (7 days) antibiotic prophylaxis for permanent pacemaker implantation",11838927,L34116737
"Effect of a conjugate pneumococcal vaccine on the occurrence of respiratory infections and antibiotic use in day-care center attendees",11642629,L32952672
"Effect of long term consumption of probiotic milk on infections in children attending day care centres: Double blind, randomised trial",11387176,L32521266
"Treatment of A-streptococcal tonsillopharyngitis. Five days of treatment with cephalosporin is as effective as ten with penicillin",11387706,L32441014
"Successful shortening from seven to four days of parenteral beta-lactam treatment for common childhood infections: A prospective and randomized study",11285152,L32319020
"Efficacy, safety and tolerability of 3 day azithromycin versus 10 day co-amoxiclav in the treatment of children with acute lower respiratory tract infections",11266417,L32303410
"Randomised controlled trial of three day versus 10 day intravenous antibiotics in acute pyelonephritis: Effect on renal scarring",11207174,L32250832
"Perioperative antibiotic use in high-risk penetrating hollow viscus injury: A prospective randomized, double-blind, placebo-control trial of 24 hours versus 5 days",11086771,L30999715
"Is a 5-day course of antibiotics as effective as a 10-day course for the treatment of streptococcal pharyngitis and the prevention of poststreptococcal sequelae?",11132064,L31395446
"Five-day cefdinir course vs. ten-day cefprozil course for treatment of acute otitis media",11144396,L32001761
"Prevention of postoperative infection following laparoscopic cholecystectomy - Comparison between single dose and 2-day dose administration of antibiotic prophylaxis",,L32016356
"Addition of metronidazole to rabeprazole-amoxicillin-clarithromycin regimen for Helicobacter pylori infection provides an excellent cure rate with five-day therapy",10849057,L34948013
"Efficacy of ceftibuten in 5 versus 10 days treatment of recurrent acute otitis media in children",11006450,L30721427
"Equally high efficacy of 4, 7 and 10-day triple therapies to eradicate Helicobacter pylori infection in patients with ulcer disease",10930901,L30618168
"The impact of antibiotic resistance on the efficacy of three 7-day regimens against Helicobacter pylori",10886045,L30446900
