"Title","Publication Year","Medline PMID","PUI"
"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: Results of a multicenter, double-blind, randomized study in adolescent and adult patients","2003",13678479,L36994445
"Ertapenem once a day versus piperacillin-tazobactam every 6 hours for treatment of acute pelvic infections: A prospective, multicenter, randomized, double-blind study","2003",12839630,L36604819
"Vaccination of day-care center attendees reduces carriage of Streptococcus pneumoniae among their younger siblings","2003",12799509,L36782192
"Safety and efficacy of 7-day rabeprazole- and omeprazole-based triple therapy regimens for the eradication of Helicobacter pylori in patients with documented peptic ulcer disease","2003",12694089,L36560807
"A comparison of 5-day courses of dirithromycin and azithromycin in the treatment of acute exacerbations of chronic obstructive pulmonary disease","2003",12749513,L36286919
"Low Helicobacter pylori eradication rates with 4- and 7-day regimens in an Iranian population","2003",12519218,L36062581
"Etiology of acute otitis media in childhood and evaluation of two different protocols of antibiotic therapy: 10 Days cefaclor vs. 3 days azitromycin","2003",12560149,L36135764
"Triple therapy for 7 days vs. triple therapy for 7 days plus omeprazole for 21 days in treatment of active duodenal ulcer with Helicobacter pylori infection. A double blind placebo controlled trial","2003",12725603,L36546658
"The impact of selected environmental factors on the morbidity of children in day-care centres","2002",12523214,L35462290
"Spread of Streptococcus pneumoniae and antibiotic-resistant S. pneumoniae from day-care center attendees to their younger siblings","2002",12447737,L35379638
"Single-dose metronidazole versus 5-day multi-drug antibiotic regimen in excision of pilonidal sinuses with primary closure: A prospective randomised controlled double-blinded study","2002",12420730,L36067770
"A comparative study of hypertonic saline, daily and alternate-day rhDNase in children with cystic fibrosis","2002",,L36138897
"Seven days vs. 10 days ceftriaxone therapy in bacterial meningitis","2002",12405169,L35189763
"Three days of antibiotics as good as five days for childhood pneumonia","2002",,L35153856
"Three days of pivmecillinam or norfloxacin for treatment of acute uncomplicated urinary infection in women","2002",12195873,L34906138
"Efficacy of a ten day course of ceftriaxone compared to a shortened five day course in the treatment of community-acquired pneumonia in hospitalized adults with risk factors","2002",,L34763793
"Stool antigen assay to screen Helicobacter pylori infection and to assess the success of 3-day and 7-day eradication therapy in the patients with partial gastrectomy","2002",12047326,L34665838
"A randomized, multicenter study of G-CSF starting on day +1 vs day +5 after autologous peripheral blood progenitor cell transplantation","2002",12040471,L34618905
"Treatment of acute bacteria sinusitis of outpatients compared the 5-days and 10-days course with cefuroxim axetil (CAE)","2002",,L34309199
"Telephone consultations to manage requests for same-day appointments: A randomised controlled trial in two practices","2002",11942448,L35021406
"Five day clarithromycin modified release versus 10 day penicillin V for group A streptococcal pharyngitis: A multi-centre, open-label, randomized study","2002",11815577,L34162626
"Short-term (48 hours) versus long-term (7 days) antibiotic prophylaxis for permanent pacemaker implantation","2001",11838927,L34116737
"Effect of a conjugate pneumococcal vaccine on the occurrence of respiratory infections and antibiotic use in day-care center attendees","2001",11642629,L32952672
"Effect of long term consumption of probiotic milk on infections in children attending day care centres: Double blind, randomised trial","2001",11387176,L32521266
"Treatment of A-streptococcal tonsillopharyngitis. Five days of treatment with cephalosporin is as effective as ten with penicillin","2001",11387706,L32441014
"Successful shortening from seven to four days of parenteral beta-lactam treatment for common childhood infections: A prospective and randomized study","2001",11285152,L32319020
"Randomised controlled trial of three day versus 10 day intravenous antibiotics in acute pyelonephritis: Effect on renal scarring","2001",11207174,L32250832
"Efficacy, safety and tolerability of 3 day azithromycin versus 10 day co-amoxiclav in the treatment of children with acute lower respiratory tract infections","2001",11266417,L32303410
"Perioperative antibiotic use in high-risk penetrating hollow viscus injury: A prospective randomized, double-blind, placebo-control trial of 24 hours versus 5 days","2000",11086771,L30999715
"Is a 5-day course of antibiotics as effective as a 10-day course for the treatment of streptococcal pharyngitis and the prevention of poststreptococcal sequelae?","2000",11132064,L31395446
"Five-day cefdinir course vs. ten-day cefprozil course for treatment of acute otitis media","2000",11144396,L32001761
"Prevention of postoperative infection following laparoscopic cholecystectomy - Comparison between single dose and 2-day dose administration of antibiotic prophylaxis","2000",,L32016356
"Addition of metronidazole to rabeprazole-amoxicillin-clarithromycin regimen for Helicobacter pylori infection provides an excellent cure rate with five-day therapy","2000",10849057,L34948013
"Efficacy of ceftibuten in 5 versus 10 days treatment of recurrent acute otitis media in children","2000",11006450,L30721427
"Equally high efficacy of 4, 7 and 10-day triple therapies to eradicate Helicobacter pylori infection in patients with ulcer disease","2000",10930901,L30618168
"The impact of antibiotic resistance on the efficacy of three 7-day regimens against Helicobacter pylori","2000",10886045,L30446900
