"","PMID","title","Publication.Year","relevent","dur_trial","reason_exclude","Comments","short_dur","long_dur","fu_period"
"421",8252157,"Should vancomycin be used empirically in febrile patients with prolonged and profound neutropenia? Results of a randomized trial",1993,NA,NA,NA,NA,NA,NA,NA
"422",8253560,"Bacteriologic profile of surgical infection after antibiotic prophylaxis",1993,NA,NA,NA,NA,NA,NA,NA
"423",8268363,"Short-term treatment of traveler's diarrhea with norfloxacin: a double-blind, placebo-controlled study during two seasons",1993,NA,NA,NA,NA,NA,NA,NA
"424",8270392,"Cefuroxime prophylaxis in biliary surgery: single versus triple dose",1993,NA,NA,NA,NA,NA,NA,NA
"425",8284649,"Comparison of three days' therapy with cefcanel or amoxicillin for the treatment of acute uncomplicated urinary tract infection",1993,NA,NA,NA,NA,NA,NA,NA
"426",8285197,"Heterogeneity in gentamicin clearance between high-efficiency hemodialyzers",1994,NA,NA,NA,NA,NA,NA,NA
"427",8286514,"Outcome at three to five years of primary closure of perianal and pilonidal abscess. A randomised, double-blind clinical trial with a complete three-year followup of one compared with four days' treatment with ampicillin and metronidazole",1993,NA,NA,NA,NA,NA,NA,NA
"428",8288664,"Prophylaxis against infection in total joint arthroplasty. One day of cefuroxime compared with three days of cefazolin",1994,NA,NA,NA,NA,NA,NA,NA
"429",8297196,"Urinary tract infections with low and high colony counts in young women: Spontaneous remission and single-dose vs multiple-day treatment",1994,NA,NA,NA,NA,NA,NA,NA
"430",8298585,"Fosfomycin trometamol in a single dose versus seven days nitrofurantoin in the treatment of acute uncomplicated urinary tract infections in women",1993,NA,NA,NA,NA,NA,NA,NA
"431",8304656,"Utility of selective digestive decontamination in mechanically ventilated patients",1994,NA,NA,NA,NA,NA,NA,NA
"432",8306818,"Single-dose antibiotic prophylaxis in maxillofacial surgery",1994,NA,NA,NA,NA,NA,NA,NA
"433",8310405,"Postoperative choledochoscopy: is routine antibiotic prophylaxis necessary?--A prospective randomized study",1994,NA,NA,NA,NA,NA,NA,NA
"434",8324023,"[Roxithromycin in the treatment of community-acquired pneumonia]",1993,NA,NA,NA,NA,NA,NA,NA
"435",8326680,"[Prospective randomized study on effect of duration of antimicrobial prophylaxis for mastectomy]",1993,NA,NA,NA,NA,NA,NA,NA
"436",8339647,"Neurologic disease requiring long-term ventilation. The role of selective decontamination of the digestive tract in preventing nosocomial infection",1993,NA,NA,NA,NA,NA,NA,NA
"437",8368471,"[The effect of different autotransfusion procedures on the antibiotic picture. A study on cephalosporin cefamandole]",1993,NA,NA,NA,NA,NA,NA,NA
"438",8371127,"A single-blind, randomised, comparative study of clarithromycin and amoxycillin suspensions in the treatment of children with lower respiratory tract infections",1993,NA,NA,NA,NA,NA,NA,NA
"439",8384818,"Treatment of acute uncomplicated urinary tract infections with 3 days of lomefloxacin compared with treatment with 3 days of norfloxacin",1993,NA,NA,NA,NA,NA,NA,NA
"440",8399607,"Intraperitoneal vancomycin/oral pefloxacin versus intraperitoneal vancomycin/gentamicin in the treatment of continuous ambulatory peritoneal dialysis peritonitis",1993,NA,NA,NA,NA,NA,NA,NA
"441",8399863,"Clindamycin/primaquine versus trimethoprim-sulfamethoxazole as primary therapy for Pneumocystis carinii pneumonia in AIDS: a randomized, double-blind pilot trial",1993,NA,NA,NA,NA,NA,NA,NA
"442",8401617,"[Oral ofloxacin versus intramuscular ceftriaxone in antibiotic prophylaxis in transurethral prostate resection]",1993,NA,NA,NA,NA,NA,NA,NA
"443",8405642,"A prospective randomized study comparing amoxycillin/clavulanate with cefuroxime plus metronidazole for perioperative prophylaxis in gynaecological surgery",1993,NA,NA,NA,NA,NA,NA,NA
"444",8409152,"The use of intramuscular cefoperazone versus intramuscular ceftriaxone in patients with nursing home-acquired pneumonia",1993,NA,NA,NA,NA,NA,NA,NA
"445",8409311,"Are routine duodenal and antral biopsies useful in the management of ""functional"" dyspepsia? A diagnostic and therapeutic study",1993,NA,NA,NA,NA,NA,NA,NA
"446",8437527,"[Sulbactam/ampicillin in comparison with cefuroxime for infections of the lower respiratory tract. Results of a prospective, randomized comparative study]",1993,NA,NA,NA,NA,NA,NA,NA
"447",8449845,"Perioperative antibiotic prophylaxis and wound infection following breast surgery",1993,NA,NA,NA,NA,NA,NA,NA
"448",8452175,"Systemic antimicrobial therapy for skin and skin structure infections: comparison of fleroxacin and ceftazidime",1993,NA,NA,NA,NA,NA,NA,NA
"449",8452323,"Ciprofloxacin and loperamide in the treatment of bacillary dysentery",1993,NA,NA,NA,NA,NA,NA,NA
"450",8458056,"Comparison of empiric aztreonam and aminoglycoside regimens in the treatment of serious gram-negative lower respiratory infections",1993,NA,NA,NA,NA,NA,NA,NA
"451",8467623,"Comparison of oral cefpodoxime proxetil and cefaclor in the treatment of skin and soft tissue infections",1993,NA,NA,NA,NA,NA,NA,NA
"452",8468114,"Comparison of the efficacy and safety of amikacin once or twice-a-day in the treatment of severe gram-negative infections in the elderly",1993,NA,NA,NA,NA,NA,NA,NA
"453",8478306,"Clinical efficacy of dirithromycin versus miocamycin in the treatment of acute bronchitis or acute exacerbations of chronic bronchitis",1993,NA,NA,NA,NA,NA,NA,NA
"454",8480929,"Injury severity dictates individualized antibiotic therapy in penetrating abdominal trauma",1993,NA,NA,NA,NA,NA,NA,NA
"455",8490981,"Antibiotic therapy for bacterial meningitis in children in developing countries",1993,NA,NA,NA,NA,NA,NA,NA
"456",8502522,"Duration of positive throat cultures for group A streptococci after initiation of antibiotic therapy",1993,NA,NA,NA,NA,NA,NA,NA
"457",8515294,"Chemoprophylaxis of bacterial infections in granulocytopenic patients with ciprofloxacin vs ciprofloxacin plus amoxicillin",1993,NA,NA,NA,NA,NA,NA,NA
"458",8522777,"Oral ciprofloxacin as prophylaxis in gastroduodenal surgery",1995,NA,NA,NA,NA,NA,NA,NA
"459",8527539,"Use of azithromycin for the treatment of Campylobacter enteritis in travelers to Thailand, an area where ciprofloxacin resistance is prevalent",1995,NA,NA,NA,NA,NA,NA,NA
"460",8537264,"A comparison of 5 days of dirithromycin and 7 days of clarithromycin in acute bacterial exacerbation of chronic bronchitis",1995,NA,NA,NA,NA,NA,NA,NA
"461",8537805,"A randomized controlled trial of oral albuterol in acute cough",1996,NA,NA,NA,NA,NA,NA,NA
"462",8549398,"Double-blind comparison of ofloxacin for 3 days and placebo in acute bacterial enteritis",1995,NA,NA,NA,NA,NA,NA,NA
"463",8560537,"A prospective comparison of co-amoxiclav and the combination of chloramphenicol, doxycycline, and co-trimoxazole for the oral maintenance treatment of melioidosis",1995,NA,NA,NA,NA,NA,NA,NA
"464",8585739,"Effectiveness of short-course therapy (5 days) with cefuroxime axetil in treatment of secondary bacterial infections of acute bronchitis",1995,NA,NA,NA,NA,NA,NA,NA
"465",8586785,"Do 'chlorine covers' exert a sustained bactericidal effect on the bacterial hand flora?",1995,NA,NA,NA,NA,NA,NA,NA
"466",8588136,"Ampicillin plus mecillinam vs. cefotaxime/cefadroxil treatment of patients with severe pneumonia or pyelonephritis: a double-blind multicentre study evaluated by intention-to-treat analysis",1995,NA,NA,NA,NA,NA,NA,NA
"467",8591941,"Early single dose therapy with ofloxacin for empirical treatment of acute gastroenteritis: a randomised, placebo-controlled double-blind clinical trial",1995,NA,NA,NA,NA,NA,NA,NA
"468",8617089,"Selective decontamination of the digestive tract in multiple trauma patients. A prospective double-blind, randomized, placebo-controlled study",1996,NA,NA,NA,NA,NA,NA,NA
"469",8637787,"Three- versus four-week administration of benzathine penicillin G: effects on incidence of streptococcal infections and recurrences of rheumatic fever",1996,NA,NA,NA,NA,NA,NA,NA
"470",8637789,"Rheumatic fever prophylaxis using benzathine penicillin G (BPG): two- week versus four-week regimens: comparison of two brands of BPG",1996,NA,NA,NA,NA,NA,NA,NA
"471",8676932,"Prophylaxis against disseminated Mycobacterium avium complex with weekly azithromycin, daily rifabutin, or both",1996,NA,NA,NA,NA,NA,NA,NA
"472",8698374,"Chlamydial cervicitis and urethritis: single dose treatment compared with doxycycline for seven days in community based practises",1996,NA,NA,NA,NA,NA,NA,NA
"473",8709688,"Randomised controlled comparison of single-dose ciprofloxacin and doxycycline for cholera caused by Vibrio cholerae 01 or 0139",1996,NA,NA,NA,NA,NA,NA,NA
"474",8723449,"Monotherapy with meropenem versus combination therapy with ceftazidime plus amikacin as empiric therapy for fever in granulocytopenic patients with cancer. The International Antimicrobial Therapy Cooperative Group of the European Organization for Research and Treatment of Cancer and the Gruppo Italiano Malattie Ematologiche Maligne dell'Adulto Infection Program",1996,NA,NA,NA,NA,NA,NA,NA
"475",8727863,"Prospective randomized open study between ciprofloxacin and a combination of sulfadiazine and trimethoprim in antibiotic prophylaxis in connection with transurethral prostatectomy",1996,NA,NA,NA,NA,NA,NA,NA
"476",8737128,"Comparative efficacy of sparfloxacin in comparison with amoxycillin plus ofloxacin in the treatment of community-acquired pneumonia. French Study Group",1996,NA,NA,NA,NA,NA,NA,NA
"477",8737129,"Comparative safety and efficacy of sparfloxacin in the treatment of acute exacerbations of chronic obstructive pulmonary disease: a double-blind, randomised, parallel, multicentre study",1996,NA,NA,NA,NA,NA,NA,NA
"478",8760738,"Randomised, double blind, placebo controlled trial of penicillin V and amoxycillin in treatment of acute sinus infections in adults",1996,NA,NA,NA,NA,NA,NA,NA
"479",8766483,"[Evaluating pulse oximetry in the fetus. Case control study for detection of undesirable complications]",1996,NA,NA,NA,NA,NA,NA,NA
"480",8783703,"Empirical treatment of severe acute community-acquired gastroenteritis with ciprofloxacin",1996,NA,NA,NA,NA,NA,NA,NA
"481",8787882,"Double-blind comparison of cefazolin and ceftizoxime for prophylaxis against infections following elective biliary tract surgery",1996,NA,NA,NA,NA,NA,NA,NA
"482",8790652,"Effects of doxycycline in patients with acute cough and purulent sputum: a double blind placebo controlled trial",1994,NA,NA,NA,NA,NA,NA,NA
"483",8799513,"Effects of a single oral dose of sparfloxacin on ventricular repolarization in healthy volunteers",1996,NA,NA,NA,NA,NA,NA,NA
"484",8803738,"Efficacy of antibiotic prophylaxis for prevention of Lyme disease",1996,NA,NA,NA,NA,NA,NA,NA
"485",8815553,"[Multicenter comparative study of meropenem vs. imipenem in the intramuscular treatment of hospital infections of the urinary tract]",1995,NA,NA,NA,NA,NA,NA,NA
"486",8818850,"Once-daily, 3-day azithromycin versus a three-times-daily, 10-day course of co-amoxiclav in the treatment of adults with lower respiratory tract infections: Results of a randomized, double-blind comparative study",1996,NA,NA,NA,NA,NA,NA,NA
"487",8818851,"A randomized, comparative study to evaluate the efficacy and tolerability of a 3-day course of azithromycin versus a 10-day course of co-amoxiclav as treatment of adult patients with lower respiratory tract infections",1996,NA,NA,NA,NA,NA,NA,NA
"488",8822290,"Effectiveness of five days of therapy with cefuroxime axetil suspension for treatment of acute otitis media",1996,NA,NA,NA,NA,NA,NA,NA
"489",8822657,"Warm tub bath during labor. A study of 1385 women with prelabor rupture of the membranes after 34 weeks of gestation",1996,NA,NA,NA,NA,NA,NA,NA
"490",8829019,"Ofloxacin versus trimethoprim-sulfamethoxazole in the treatment of patients with acute exacerbation of chronic bronchitis. Study of Ofloxacin in Lower Respiratory Tract Infections Research Group",1996,NA,NA,NA,NA,NA,NA,NA
"491",8849259,"Two or three days of ofloxacin treatment for uncomplicated multidrug-resistant typhoid fever in children",1996,NA,NA,NA,NA,NA,NA,NA
"492",8852474,"Erythema migrans: three weeks treatment for prevention of late Lyme borreliosis",1996,NA,NA,NA,NA,NA,NA,NA
"493",8858671,"Six-day amoxicillin vs. ten-day penicillin V therapy for group A streptococcal tonsillopharyngitis",1996,NA,NA,NA,NA,NA,NA,NA
"494",8864730,"Short-term versus long-term antimicrobial prophylaxis in oncologic head and neck surgery",1996,NA,NA,NA,NA,NA,NA,NA
"495",8874253,"A prospective randomized study of inpatient iv. antibiotics for community-acquired pneumonia. The optimal duration of therapy",1996,NA,NA,NA,NA,NA,NA,NA
"496",8878223,"Evaluation of the efficacy, safety and toleration of azithromycin vs. penicillin V in the treatment of acute streptococcal pharyngitis in children: results of a multicenter, open comparative study. The Swiss Tonsillopharyngitis Study Group",1996,NA,NA,NA,NA,NA,NA,NA
"497",8892717,"Effect of subcutaneous tunneling on internal jugular catheter-related sepsis in critically ill patients: a prospective randomized multicenter study",1996,NA,NA,NA,NA,NA,NA,NA
"498",8919724,"Comparative effectiveness of co-trimoxazole and tetracycline in the treatment of Cholera",1996,NA,NA,NA,NA,NA,NA,NA
"499",8922570,"Five days of erythromycin estolate versus ten days of penicillin V in the treatment of group A streptococcal tonsillopharyngitis in children. Pharyngitis Study Group",1996,NA,NA,NA,NA,NA,NA,NA
"500",8933313,"Ceftriaxone versus cefazolin with probenecid for severe skin and soft tissue infections",1996,NA,NA,NA,NA,NA,NA,NA
"501",8934240,"Percutaneous feeding tube changes in long-term-care facility patients",1996,NA,NA,NA,NA,NA,NA,NA
"502",8942221,"Cefuroxime compared to amoxicillin-clavulanic acid in the treatment of community-acquired pneumonia",1996,NA,NA,NA,NA,NA,NA,NA
"503",8961912,"The effect of prophylactic penicillin treatment on the course of arthritis episodes in patients with Behçet's disease. A randomized clinical trial",1996,NA,NA,NA,NA,NA,NA,NA
"504",8970755,"Comparative evaluation of cefixime versus amoxicillin-clavulanate following ceftriaxone therapy of pneumonia",1996,NA,NA,NA,NA,NA,NA,NA
"505",8983283,"Randomised comparison of ceftazidime and imipenem as initial monotherapy for febrile episodes in neutropenic cancer patients",1996,NA,NA,NA,NA,NA,NA,NA
"506",8989178,"Randomized, controlled trial of selective digestive decontamination in 600 mechanically ventilated patients in a multidisciplinary intensive care unit",1997,NA,NA,NA,NA,NA,NA,NA
"507",8994754,"Cefepime/amikacin versus ceftazidime/amikacin as empirical therapy for febrile episodes in neutropenic patients: a comparative study. The French Cefepime Study Group",1997,NA,NA,NA,NA,NA,NA,NA
"508",8997555,"Efficacy and safety of azithromycin versus phenoxymethylpenicillin in the treatment of acute maxillary sinusitis",1996,NA,NA,NA,NA,NA,NA,NA
"509",9006528,"A study of 5-day cefdinir treatment for streptococcal pharyngitis in children",1997,NA,NA,NA,NA,NA,NA,NA
"510",9021203,"Comparison of the bactericidal activities of piperacillin-tazobactam, ticarcillin-clavulanate, and ampicillin-sulbactam against clinical isolates of Bacteroides fragilis, Enterococcus faecalis, Escherichia coli, and Pseudomonas aeruginosa",1997,NA,NA,NA,NA,NA,NA,NA
"511",9032500,"Pulmonary concentrations of dirithromycin and erythromycin during acute exacerbation of mild chronic obstructive pulmonary disease",1997,NA,NA,NA,NA,NA,NA,NA
"512",9032531,"The value of antibiotic prophylaxis during extracorporeal shock wave lithotripsy in the prevention of urinary tract infections in patients with urine proven sterile prior to treatment",1997,NA,NA,NA,NA,NA,NA,NA
"513",9057377,"Effectiveness of ampicillin and combination of penicillin and chloramphenicol in the treatment of pneumonias: randomized controlled trial",1996,NA,NA,NA,NA,NA,NA,NA
"514",9068468,"A prospective randomized controlled trial of oral ciprofloxacin in acute ulcerative colitis",1997,NA,NA,NA,NA,NA,NA,NA
"515",9069004,"Decrease in nosocomial pneumonia in ventilated patients by selective oropharyngeal decontamination (SOD)",1997,NA,NA,NA,NA,NA,NA,NA
"516",9099325,"Double-blind, randomized clinical trial for safety and efficacy of norfloxacin for shigellosis in children",1997,NA,NA,NA,NA,NA,NA,NA
"517",9116551,"Open randomised trial of prescribing strategies in managing sore throat",1997,NA,NA,NA,NA,NA,NA,NA
"518",9124864,"Treatment of enteric fever with pefloxacin for 7 days versus 5 days: a randomized clinical trial",1996,NA,NA,NA,NA,NA,NA,NA
"519",9137156,"Open versus closed surgical treatment of abscesses: a controlled clinical trial",1997,NA,NA,NA,NA,NA,NA,NA
"520",9142805,"Epidemiology and treatment of Cyclospora cayetanensis infection in Peruvian children",1997,NA,NA,NA,NA,NA,NA,NA
"521",9145738,"Antibiotic therapy for diabetic foot infections: comparison of two parenteral-to-oral regimens",1997,NA,NA,NA,NA,NA,NA,NA
"522",9145846,"Suspicion of quinolone active metabolite following discrepancy between predicted and experimental urine bactericidal activities",1997,NA,NA,NA,NA,NA,NA,NA
"523",9154884,"Protective effect of intravenously administered cefuroxime against nosocomial pneumonia in patients with structural coma",1997,NA,NA,NA,NA,NA,NA,NA
"524",9177961,"Five-day versus ten-day treatment of acute otitis media with cefprozil",1997,NA,NA,NA,NA,NA,NA,NA
"525",9179067,"A randomized trial of a nonabsorbable antibiotic lozenge given to alleviate radiation-induced mucositis",1997,NA,NA,NA,NA,NA,NA,NA
"526",9182114,"Efficacy of norfloxacin and doxycycline for treatment of vibrio cholerae 0139 infection",1996,NA,NA,NA,NA,NA,NA,NA
"527",9190554,"Simplified treatment of acute staphylococcal osteomyelitis of childhood. The Finnish Study Group",1997,NA,NA,NA,NA,NA,NA,NA
"528",9197167,"Needle aspiration in large amoebic liver abscess",1997,NA,NA,NA,NA,NA,NA,NA
"529",9200361,"Seven days of erythromycin estolate is as effective as fourteen days for the treatment of Bordetella pertussis infections",1997,NA,NA,NA,NA,NA,NA,NA
"530",9215181,"The effect of placental removal method on the incidence of postcesarean infections",1997,NA,NA,NA,NA,NA,NA,NA
"531",9246960,"A study on prophylactic antibiotics in cesarean sections--is it worthwhile?",1997,NA,NA,NA,NA,NA,NA,NA
"532",9248749,"One bolus dose of gentamicin and early oral therapy versus cefotaxime and subsequent oral therapy in the treatment of febrile urinary tract infection",1997,NA,NA,NA,NA,NA,NA,NA
"533",9251949,"Ampicillin/sulbactam versus cefotetan for the prevention of infection following cesarean delivery in high-risk patients: a randomized double-blind trial",1997,NA,NA,NA,NA,NA,NA,NA
"534",9270458,"Reattendance and complications in a randomised trial of prescribing strategies for sore throat: the medicalising effect of prescribing antibiotics",1997,NA,NA,NA,NA,NA,NA,NA
"535",9298911,"Comparative trial of four antibiotic combinations for perforated appendicitis in children",1997,NA,NA,NA,NA,NA,NA,NA
"536",9346622,"Prospective study comparing the efficacy of prophylactic parenteral antimicrobials, with or without enteral decontamination, in patients with acute liver failure",1996,NA,NA,NA,NA,NA,NA,NA
"537",9384020,"[Nursing study of supporting aerosolized oxygen by combined drug liquid in children with intensive pneumonia]",1997,NA,NA,NA,NA,NA,NA,NA
"538",9393422,"The influence of preoperative antibiotics on success of endosseous implants up to and including stage II surgery: a study of 2,641 implants",1997,NA,NA,NA,NA,NA,NA,NA
"539",9394695,"Effect of intestinal parasite treatment on the efficacy of oral iodized oil for correcting iodine deficiency in schoolchildren",1997,NA,NA,NA,NA,NA,NA,NA
"540",9410047,"[Double-blind clinical trial comparing 5 days of dirithromycin versus 7 days of diacetylmidecamycin in acute bronchitis and acute exacerbations of chronic bronchitis]",1997,NA,NA,NA,NA,NA,NA,NA
"541",9426995,"Single dose ciprofloxacin in cholera",1997,NA,NA,NA,NA,NA,NA,NA
"542",9476845,"Impact of invasive and noninvasive quantitative culture sampling on outcome of ventilator-associated pneumonia: a pilot study",1998,NA,NA,NA,NA,NA,NA,NA
"543",9492731,"Metronidazole prophylaxis to prevent infections after total abdominal hysterectomy",1998,NA,NA,NA,NA,NA,NA,NA
"544",9515521,"Duration of antimicrobial prophylaxis in vascular surgery",1998,NA,NA,NA,NA,NA,NA,NA
"545",9515666,"Prospective randomized study to compare imipenem 1.5 grams per day vs. 3.0 grams per day in infections of granulocytopenic patients",1998,NA,NA,NA,NA,NA,NA,NA
"546",9522107,"Comparison of ceftibuten once daily and amoxicillin-clavulanate three times daily in the treatment of acute exacerbations of chronic bronchitis",1998,NA,NA,NA,NA,NA,NA,NA
"547",9531075,"Increased burn patient survival with once-a-day high dose teicoplanin and netilmicin. An Italian multicenter study",1998,NA,NA,NA,NA,NA,NA,NA
"548",9569434,"Antibiotic treatment of patients with mucosal thickening in the paranasal sinuses, and validation of cut-off points in sinus CT",1998,NA,NA,NA,NA,NA,NA,NA
"549",9581302,"Comparative efficacy of cefixime and ampicillin-sulbactam in shigellosis in children",1998,NA,NA,NA,NA,NA,NA,NA
"550",9593129,"Five-day cefdinir treatment for streptococcal pharyngitis",1998,NA,NA,NA,NA,NA,NA,NA
"551",9612103,"A trial of various regimens of antibiotics in acute appendicitis",1997,NA,NA,NA,NA,NA,NA,NA
"552",9624542,"A comparison between single-dose fosfomycin trometamol (Monuril®) and a 5-day course of trimethoprim in the treatment of uncomplicated lower urinary tract infection in women",1998,NA,NA,NA,NA,NA,NA,NA
"553",9640572,"Lack of effect of prophylactic gentamicin treatment on intraocular and extraocular fluid cultures after pars plana vitrectomy",1998,NA,NA,NA,NA,NA,NA,NA
"554",9647149,"A randomised comparison of strategies for reducing infective complications of induced abortion",1998,NA,NA,NA,NA,NA,NA,NA
"555",9654311,"The role of oral antimicrobials for the management of intra-abdominal infections",1998,NA,NA,NA,NA,NA,NA,NA
"556",9656557,"[Which treatment should children with recurrent urinary infections, without anatomical anomalies, receive?]",1998,NA,NA,NA,NA,NA,NA,NA
"557",9662762,"A comparative study of therapeutic response of patients with clinical chancroid to ciprofloxacin, erythromycin, and cotrimoxazole",1998,NA,NA,NA,NA,NA,NA,NA
"558",9666577,"Prophylactic antibiotics administration head and neck cancer surgery with major flap reconstruction: 1-day cefoperazone versus 5-day cefotaxime",1998,NA,NA,NA,NA,NA,NA,NA
"559",9688452,"Neutropenic infections: a review of the French Febrile Aplasia Study Group trials in 608 febrile neutropenic patients",1998,NA,NA,NA,NA,NA,NA,NA
"560",9692392,"Ciprofloxacin plus piperacillin is an equally effective regimen for empiric therapy in febrile neutropenic patients compared with standard therapy",1998,NA,NA,NA,NA,NA,NA,NA
"561",9695210,"Monotherapy with piperacillin/tazobactam versus combination therapy with ceftazidime plus amikacin as an empiric therapy for fever in neutropenic cancer patients",1998,NA,NA,NA,NA,NA,NA,NA
"562",9706600,"[Prospective randomized trial of meropenem versus cefotaxime and metronidazole in the treatment of intraabdominal infections]",1998,NA,NA,NA,NA,NA,NA,NA
"563",9716056,"Randomised comparison of ciprofloxacin suspension and pivmecillinam for childhood shigellosis",1998,NA,NA,NA,NA,NA,NA,NA
"564",9726683,"Epidemiology and treatment of otitis media with effusion in children in the first year of primary school",1998,NA,NA,NA,NA,NA,NA,NA
"565",9740281,"Comparison of the efficacy of tetracycline and norfloxacin in the treatment of acute severe watery diarrhea",1998,NA,NA,NA,NA,NA,NA,NA
"566",9779760,"Early eradication of pathogens from middle ear fluid during antibiotic treatment of acute otitis media is associated with improved clinical outcome",1998,NA,NA,NA,NA,NA,NA,NA
"567",9783046,"A comparative study of cefixime and chloramphenicol in children with typhoid fever",1998,NA,NA,NA,NA,NA,NA,NA
"568",9790130,"Empiric monotherapy for febrile neutropenia--a randomized study comparing meropenem with ceftazidime",1998,NA,NA,NA,NA,NA,NA,NA
"569",9813398,"Rifaximin: a nonabsorbed antimicrobial in the therapy of travelers' diarrhea",1998,NA,NA,NA,NA,NA,NA,NA
"570",9817522,"A comparative study of levofloxacin and ceftriaxone in the treatment of hospitalized patients with pneumonia",1998,NA,NA,NA,NA,NA,NA,NA
"571",9822512,"Chorioamnionitis: is continuation of antibiotic therapy necessary after cesarean section?",1998,NA,NA,NA,NA,NA,NA,NA
"572",9829444,"Multicenter comparative trial of ciprofloxacin versus cefuroxime axetil in the treatment of acute rhinosinusitis in a primary care setting. Rhinosinusitis Investigation Group",1998,NA,NA,NA,NA,NA,NA,NA
"573",9850410,"A randomized clinical trial to compare the efficacy of erythromycin, ampicillin and tetracycline for the treatment of cholera in children",1998,NA,NA,NA,NA,NA,NA,NA
"574",9868662,"Ceftriaxone once daily for four weeks compared with ceftriaxone plus gentamicin once daily for two weeks for treatment of endocarditis due to penicillin-susceptible streptococci. Endocarditis Treatment Consortium Group",1998,NA,NA,NA,NA,NA,NA,NA
"575",9892331,"Oral vs intravenous ciprofloxacin in the initial empirical management of severe pyelonephritis or complicated urinary tract infections: a prospective randomized clinical trial",1999,NA,NA,NA,NA,NA,NA,NA
"576",9894177,"Incidence of postpartum endomyometritis following single-dose antibiotic prophylaxis with either ampicillin/sulbactam, cefazolin, or cefotetan in high-risk cesarean section patients",1998,NA,NA,NA,NA,NA,NA,NA
"577",9916899,"Imipenem versus targeted therapy in cancer patients",1998,NA,NA,NA,NA,NA,NA,NA
"578",9917438,"Once-daily therapy for streptococcal pharyngitis with amoxicillin",1999,NA,NA,NA,NA,NA,NA,NA
"579",10077192,"Antibiotic prophylaxis in orthognathic surgery: A 1-day versus 5-day regimen",1999,NA,NA,NA,NA,NA,NA,NA
"580",10090434,"Effectiveness of short-course therapy (5 days) with grepafloxacin in the treatment of acute bacterial exacerbations of chronic bronchitis",1999,NA,NA,NA,NA,NA,NA,NA
"581",10150262,"A comparison of ampicillin/sulbactam and cefoxitin in the treatment of bacterial skin and skin-structure infections",1994,NA,NA,NA,NA,NA,NA,NA
"582",10150324,"Ampicillin/sulbactam versus cefazolin or cefoxitin in the treatment of skin and skin-structure infections of bacterial etiology",1995,NA,NA,NA,NA,NA,NA,NA
"583",10204554,"The duration of antibiotic administration in penetrating abdominal trauma",1999,NA,NA,NA,NA,NA,NA,NA
"584",10207592,"[Phare study. Comparative study of combined cefepime-amikacin versus ceftazidime combined with amikacin in the treatment of nosocomial pneumonias in ventilated patients. Multicenter group study]",1999,NA,NA,NA,NA,NA,NA,NA
"585",10217908,"Adjunctive osteopathic manipulative treatment in the elderly hospitalized with pneumonia: a pilot study",1999,NA,NA,NA,NA,NA,NA,NA
"586",10225575,"A trial comparing low-dose, short-course ciprofloxacin and standard 7 day therapy with co-trimoxazole or nitrofurantoin in the treatment of uncomplicated urinary tract infection",1999,NA,NA,NA,NA,NA,NA,NA
"587",10225582,"Intravenous and oral mono- or combination-therapy in the treatment of severe infections: ciprofloxacin versus standard antibiotic therapy. Ciprofloxacin Study Group",1999,NA,NA,NA,NA,NA,NA,NA
"588",10333390,"Prophylactic amnioinfusion in preganancies complicated by chorioamnionitis: a prospective randomized trial",1998,NA,NA,NA,NA,NA,NA,NA
"589",10350385,"Treatment of community-acquired pneumonia in the elderly: the role of cefepime, a fourth-generation cephalosporin",1999,NA,NA,NA,NA,NA,NA,NA
"590",10353511,"One dose ceftriaxone vs. ten days of amoxicillin/clavulanate therapy for acute otitis media: clinical efficacy and change in nasopharyngeal flora",1999,NA,NA,NA,NA,NA,NA,NA
"591",10357049,"Prospective, randomized, double-blind trial comparing teicoplanin and cefazolin as antibiotic prophylaxis in prosthetic vascular surgery",1999,NA,NA,NA,NA,NA,NA,NA
"592",10403266,"No benefit of long-term ciprofloxacin treatment in patients with reactive arthritis and undifferentiated oligoarthritis: a three-month, multicenter, double-blind, randomized, placebo-controlled study",1999,NA,NA,NA,NA,NA,NA,NA
"593",10418756,"A randomised, multicentre study of ceftriaxone versus standard therapy in the treatment of lower respiratory tract infections",1999,NA,NA,NA,NA,NA,NA,NA
"594",10457295,"A clinical trial comparing oral azithromycin, cefixime and no antibiotics in the treatment of acute uncomplicated Salmonella enteritis in children",1999,NA,NA,NA,NA,NA,NA,NA
"595",10457551,"[Infection prophylaxis in open leg fractures. Comparison of a dose of pefloxacin and 5 days of cefazolin-oxacillin. A randomized study of 616 cases]",1999,NA,NA,NA,NA,NA,NA,NA
"596",10473234,"Treatment of hospitalized patients with complicated gram-positive skin and skin structure infections: two randomized, multicentre studies of quinupristin/dalfopristin versus cefazolin, oxacillin or vancomycin. Synercid Skin and Skin Structure Infection Group",1999,NA,NA,NA,NA,NA,NA,NA
"597",10473925,"A comparative study of cefepime versus ceftazidime as empiric therapy of febrile episodes in neutropenic patients",1999,NA,NA,NA,NA,NA,NA,NA
"598",10508879,"Fetal membrane histology in preterm premature rupture of membranes: comparison to controls, and between antibiotic and placebo treatment. The National Institute of Child Health and Human Development Maternal Fetal Medicine Units Network, Bethesda, MD, USA",1999,NA,NA,NA,NA,NA,NA,NA
