,relevent,dur_trial,reason_exclude,Comments,short_dur,long_dur,fu_period,PMID,title,,,,,,,,,,,,,,,,,
731,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,32667982,"Adjunctive Daptomycin in the Treatment of Methicillin-susceptible Staphylococcus aureus Bacteremia: A Randomized, Controlled Trial",,,,,,,,,,,,,,,,,
3,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,10657866,Oral ciprofloxacin vs. intravenous ceftriaxone administered in an outpatient setting for fever and neutropenia in low-risk pediatric oncology patients: randomized prospective trial,,,,,,,,,,,,,,,,,
78,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11969360,Cefuroxime vs a dicloxacillin/chloramphenicol combination for the treatment of parapneumonic pleural effusion and empyema in children,,,,,,,,,,,,,,,,,
107,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12495686,Combination therapy with polymyxin B-immobilized fibre haemoperfusion and teicoplanin for sepsis due to methicillin-resistant Staphylococcus aureus,,,,,,,,,,,,,,,,,
155,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15150184,"Ertapenem versus ceftriaxone for the treatment of community-acquired pneumonia in adults: combined analysis of two multicentre randomized, double-blind studies",,,,,,,,,,,,,,,,,
156,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15150185,"Treatment of complicated urinary tract infection in adults: combined analysis of two randomized, double-blind, multicentre trials comparing ertapenem and ceftriaxone followed by appropriate oral therapy",,,,,,,,,,,,,,,,,
174,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15468362,"Doxycycline versus doxycycline and rifampin in undifferentiated spondyloarthropathy, with special reference to chlamydia-induced arthritis. A prospective, randomized 9-month comparison",,,,,,,,,,,,,,,,,
228,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16447105,Treatment of plague with gentamicin or doxycycline in a randomized clinical trial in Tanzania,,,,,,,,,,,,,,,,,
234,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16627223,Efficacy and safety of ertapenem versus piperacillin-tazobactam for the treatment of intra-abdominal infections requiring surgical intervention,,,,,,,,,,,,,,,,,
240,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16816491,Penicillin and gentamicin therapy vs amoxicillin/clavulanate in severe hypoxemic pneumonia,,,,,,,,,,,,,,,,,
243,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16858182,Randomized controlled trial of moxifloxacin compared with piperacillin-tazobactam and amoxicillin-clavulanate for the treatment of complicated intra-abdominal infections,,,,,,,,,,,,,,,,,
266,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17328728,"Clinical and bacteriological outcomes in hospitalised patients with community-acquired pneumonia treated with azithromycin plus ceftriaxone, or ceftriaxone plus clarithromycin or erythromycin: a prospective, randomised, multicentre study",,,,,,,,,,,,,,,,,
271,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17362810,Moxifloxacin vs amoxicillin/clavulanate in the treatment of acute sinusitis,,,,,,,,,,,,,,,,,
284,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17599102,Short-term antibiotic prophylaxis in implant surgery: a comparison of three antibiotics,,,,,,,,,,,,,,,,,
287,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17682094,Phase 2 study of ceftaroline versus standard therapy in treatment of complicated skin and skin structure infections,,,,,,,,,,,,,,,,,
297,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18186979,Efficacy and safety of cefepime in late-onset ventilator-associated pneumonia in infants: a pilot randomized and controlled study,,,,,,,,,,,,,,,,,
318,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18549664,"Efficacy and safety of doripenem versus piperacillin/tazobactam in nosocomial pneumonia: A randomized, open-label, multicenter study",,,,,,,,,,,,,,,,,
321,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18635341,Linezolid for the treatment of infections caused by Gram-positive pathogens in China,,,,,,,,,,,,,,,,,
329,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18719064,Early microbiological response to linezolid vs vancomycin in ventilator-associated pneumonia due to methicillin-resistant Staphylococcus aureus,,,,,,,,,,,,,,,,,
346,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19254119,Amoxicillin and metronidazole as an adjunct to full-mouth scaling and root planing of chronic periodontitis,,,,,,,,,,,,,,,,,
351,0,0,Intervention (not antibiotics or duration),Did not report resistance carriage/ in clinical isolates during follow up,NA,NA,NA,19346879,Piperacillin/tazobactam plus ceftazidime versus sulbactam/ampicillin plus aztreonam as empirical therapy for fever in severely neutropenic pediatric patients,,,,,,,,,,,,,,,,,
355,0,0,Intervention (not antibiotics or duration),Did not report resistance carriage/ in clinical isolates during follow up,NA,NA,NA,19414572,"Multicenter, randomized study of the efficacy and safety of intravenous iclaprim in complicated skin and skin structure infections",,,,,,,,,,,,,,,,,
389,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20195673,"Low-dose _-lactam plus amikacin in febrile neutropenia: Cefepime vs. piperacillin/tazobactam, a randomized trial",,,,,,,,,,,,,,,,,
407,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20620320,"A complete course of intravenous antibiotics vs a combination of intravenous and oral antibiotics for perforated appendicitis in children: a prospective, randomized trial",,,,,,,,,,,,,,,,,
435,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21524156,Piperacillin/tazobactam monotherapy versus piperacillin/tazobactam plus amikacin as initial empirical therapy for febrile neutropenia in children with acute leukemia,,,,,,,,,,,,,,,,,
484,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,23153963,Randomised clinical trial of moxifloxacin versus ertapenem in complicated intra-abdominal infections: Results of the PROMISE study,,,,,,,,,,,,,,,,,
490,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,23422913,"Phase II clinical study of BC-3781, a pleuromutilin antibiotic, in treatment of patients with acute bacterial skin and skin structure infections",,,,,,,,,,,,,,,,,
515,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,24554302,Prulifloxacin vs fosfomycin for prophylaxis in female patients with recurrent UTIs: a non-inferiority trial,,,,,,,,,,,,,,,,,
528,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25130297,A randomized controlled clinical trial of levofloxacin 750 mg versus 500 mg intravenous infusion in the treatment of community-acquired pneumonia,,,,,,,,,,,,,,,,,
537,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25433006,Temocillin (6 g daily) in critically ill patients: Continuous infusion versus three times daily administration,,,,,,,,,,,,,,,,,
539,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25453872,Randomized controlled trial of biofilm antimicrobial susceptibility testing in cystic fibrosis patients,,,,,,,,,,,,,,,,,
541,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25509895,[Clinical efficacy of the antimicrobial drug furamag in nosocomial urinary tract infections],,,,,,,,,,,,,,,,,
542,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25539586,"Ceftaroline fosamil versus ceftriaxone for the treatment of Asian patients with community-acquired pneumonia: A randomised, controlled, double-blind, phase 3, non-inferiority with nested superiority trial",,,,,,,,,,,,,,,,,
551,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25785967,Clindamycin versus trimethoprim-sulfamethoxazole for uncomplicated skin infections,,,,,,,,,,,,,,,,,
555,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,25842221,"Simplified antibiotic regimens compared with injectable procaine benzylpenicillin plus gentamicin for treatment of neonates and young infants with clinical signs of possible serious bacterial infection when referral is not possible: A randomised, open-lab",,,,,,,,,,,,,,,,,
584,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,26852040,"A phase 3, multi-center, multinational, randomized, double-blind, placebo-controlled study to evaluate the efficacy and safety of levofloxacin inhalation solution (APT-1026) in stable cystic fibrosis patients",,,,,,,,,,,,,,,,,
590,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,27025829,A Randomized Trial of Clindamycin Versus Trimethoprim-sulfamethoxazole for Uncomplicated Wound Infection,,,,,,,,,,,,,,,,,
635,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,28732822,Atypical coverage in community-acquired pneumonia after outpatient beta-lactam monotherapy,,,,,,,,,,,,,,,,,
637,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,28991759,The Importance of Perioperative Prophylaxis with Cefuroxime or Ceftriaxone in the Surgical Site Infections Prevention after Cranial and Spinal Neurosurgical Procedures,,,,,,,,,,,,,,,,,
655,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,29803638,Comparative efficacy and safety analysis of CSE-1034: An open labeled phase III study in community acquired pneumonia,,,,,,,,,,,,,,,,,
656,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,29914924,"Intravenous cefazolin plus oral probenecid versus oral cephalexin for the treatment of skin and soft tissue infections: A double-blind, non-inferiority, randomised controlled trial",,,,,,,,,,,,,,,,,
660,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,30181096,"Safety and efficacy of oral nemonoxacin versus levofloxacin in treatment of community-acquired pneumonia: A phase 3, multicenter, randomized, double-blind, double-dummy, active-controlled, non-inferiority trial",,,,,,,,,,,,,,,,,
680,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,30861061,"Fosfomycin for Injection (ZTI-01) Versus Piperacillin-tazobactam for the Treatment of Complicated Urinary Tract Infection including Acute Pyelonephritis: ZEUS, A Phase 2/3 Randomized Trial",,,,,,,,,,,,,,,,,
683,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,30988146,Efficacy and Safety of Tedizolid Phosphate versus Linezolid in a Randomized Phase 3 Trial in Patients with Acute Bacterial Skin and Skin Structure Infection,,,,,,,,,,,,,,,,,
687,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,31099330,Gentamicin as an alternative to ceftriaxone in the treatment of gonorrhoea: The G-TOG non-inferiority RCT,,,,,,,,,,,,,,,,,
694,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,31335570,"Safety and Efficacy of Ceftazidime-Avibactam in the Treatment of Children ≥3 Months to <18 Years With Complicated Urinary Tract Infection: Results from a Phase 2 Randomized, Controlled Trial",,,,,,,,,,,,,,,,,
713,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,32044943,"Effect of Vancomycin or Daptomycin With vs Without an Antistaphylococcal _-Lactam on Mortality, Bacteremia, Relapse, or Treatment Failure in Patients With MRSA Bacteremia: A Randomized Clinical Trial",,,,,,,,,,,,,,,,,
732,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,32720608,Levofloxacin versus ceftriaxone for treatment of acute pyelonephritis in Iranian adults,,,,,,,,,,,,,,,,,
70,0,0,Other,Abstract cannot be retrived,NA,NA,NA,11820968,[Urinary infections without complications: comparison of a treatment with norfloxacin for 7 days versus norfloxacin for 3 days],,,,,,,,,,,,,,,,,
101,0,0,Outcome (not clinical efficacy),,NA,NA,NA,12352474,"Erythromycin reduces delayed gastric emptying in critically ill trauma patients: a randomized, controlled trial",,,,,,,,,,,,,,,,,
219,0,0,Outcome (not clinical efficacy),,NA,NA,NA,16289514,Linezolid reduces length of stay and duration of intravenous treatment compared with vancomycin for complicated skin and soft tissue infections due to suspected or proven methicillin-resistant Staphylococcus aureus (MRSA),,,,,,,,,,,,,,,,,
500,0,0,Outcome (not clinical efficacy),,,,,23815730,Effects of decontamination of the digestive tract and oropharynx in intensive care unit patients on 1-year survival,,,,,,,,,,,,,,,,,
677,0,0,Outcome (not clinical efficacy),,NA,NA,NA,30832678,Effect of enhancing audit and feedback on uptake of childhood pneumonia treatment policy in hospitals that are part of a clinical network: a cluster randomized trial,,,,,,,,,,,,,,,,,
63,0,0,Participants (not bacterial infection),,NA,NA,NA,11736715,Randomized controlled trial of clarithromycin and ethambutol in the treatment of Crohn's disease,,,,,,,,,,,,,,,,,
196,0,0,Participants (not bacterial infection),,NA,NA,NA,15783119,Prospective randomised trial of isoniazid prophylaxis in renal transplant recipient,,,,,,,,,,,,,,,,,
260,0,0,Participants (not bacterial infection),,NA,NA,NA,17226906,"Efficacy of long term cyclic administration of the poorly absorbed antibiotic Rifaximin in symptomatic, uncomplicated colonic diverticular disease",,,,,,,,,,,,,,,,,
268,0,0,Participants (not bacterial infection),,NA,NA,NA,17330681,Levofloxacin treatment in patients with rheumatoid arthritis receiving methotrexate,,,,,,,,,,,,,,,,,
348,0,0,Participants (not bacterial infection),,NA,NA,NA,19302017,"Changes in body composition with ritonavir-boosted and unboosted atazanavir treatment in combination with lamivudine and stavudine: A 96- week randomized, controlled study",,,,,,,,,,,,,,,,,
384,0,0,Participants (not bacterial infection),,NA,NA,NA,20137805,"Antimicrobial treatment for early, limited Mycobacterium ulcerans infection: a randomised controlled trial",,,,,,,,,,,,,,,,,
474,0,0,Participants (not bacterial infection),,NA,NA,NA,22748516,"Azithromycin therapy in hospitalized infants with acute bronchiolitis is not associated with better clinical outcomes: a randomized, double-blinded, and placebo-controlled clinical trial",,,,,,,,,,,,,,,,,
634,0,0,Participants (not bacterial infection),,NA,NA,NA,28722569,Mass Azithromycin and Malaria Parasitemia in Niger: Results from a Community-Randomized Trial,,,,,,,,,,,,,,,,,
2,0,1,Resistance during f/u not included,,NA,NA,NA,10634735,Penicillin for acute sore throat: randomised double blind trial of seven days versus three days treatment or placebo in adults,,,,,,,,,,,,,,,,,
4,0,1,Resistance during f/u not included,,NA,NA,NA,10735395,Comparison of ciprofloxacin (7 days) and trimethoprim-sulfamethoxazole (14 days) for acute uncomplicated pyelonephritis pyelonephritis in women: a randomized trial,,,,,,,,,,,,,,,,,
5,0,1,Resistance during f/u not included,,NA,NA,NA,10737842,Amoxicillin for fever and sore throat due to non-exudative pharyngotonsillitis: beneficial or harmful?,,,,,,,,,,,,,,,,,
6,0,1,Resistance during f/u not included,,NA,NA,NA,10749463,Randomized trial of four vs. seven days of ceftriaxone treatment for bacterial meningitis in children with rapid initial recovery,,,,,,,,,,,,,,,,,
10,0,1,Resistance during f/u not included,,NA,NA,NA,10819344,Five vs. ten days of antibiotic therapy for acute otitis media in young children,,,,,,,,,,,,,,,,,
12,0,1,Resistance during f/u not included,,NA,NA,NA,10877166,Treatment of shigellosis with cefixime: two days vs. five days,,,,,,,,,,,,,,,,,
13,0,1,Resistance during f/u not included,,NA,NA,NA,10933649,Comparative efficacy of 5 days of dirithromycin and 7 days of erythromycin in skin and soft tissue infections,,,,,,,,,,,,,,,,,
15,0,1,Resistance during f/u not included,,NA,NA,NA,10940175,A randomized controlled trial of azithromycin and amoxycillin/clavulanate in the management of subacute childhood rhinosinusitis,,,,,,,,,,,,,,,,,
16,0,1,Resistance during f/u not included,,NA,NA,NA,10975012,Treatment of bacillary dysentery in Vietnamese children: two doses of ofloxacin versus 5-days nalidixic acid,,,,,,,,,,,,,,,,,
20,0,1,Resistance during f/u not included,,NA,NA,NA,10993623,Complicated appendicitis: is there a minimum intravenous antibiotic requirement? A prospective randomized trial,,,,,,,,,,,,,,,,,
24,0,1,Resistance during f/u not included,,NA,NA,NA,11055597,Short course therapy with cefitbuten versus azithromycin in pediatric streptococcal pharyngitis,,,,,,,,,,,,,,,,,
25,0,1,Resistance during f/u not included,,NA,NA,NA,11063500,Clarithromycin attenuates mastectomy-induced acute inflammatory response,,,,,,,,,,,,,,,,,
27,0,1,Resistance during f/u not included,,NA,NA,NA,11076325,Neonatal pneumonia: comparison of 4 vs 7 days of antibiotic therapy in term and near-term infants,,,,,,,,,,,,,,,,,
29,0,1,Resistance during f/u not included,Resistance carriage not reported,NA,NA,NA,11144396,Five-day cefdinir course vs. ten-day cefprozil course for treatment of acute otitis media,,,,,,,,,,,,,,,,,
30,0,1,Resistance during f/u not included,Resistance carriage not reported,NA,NA,NA,11163478,Antimicrobial prophylaxis for infants at risk for recurrent acute otitis media,,,,,,,,,,,,,,,,,
32,0,1,Resistance during f/u not included,,NA,NA,NA,11207174,Randomised controlled trial of three day versus 10 day intravenous antibiotics in acute pyelonephritis: effect on renal scarring,,,,,,,,,,,,,,,,,
34,0,1,Resistance during f/u not included,,NA,NA,NA,11236113,A randomised controlled trial of antibiotic prophylaxis in elective caesarean delivery,,,,,,,,,,,,,,,,,
35,0,1,Resistance during f/u not included,,NA,NA,NA,11255901,A randomised controlled trial of delayed antibiotic prescribing as a strategy for managing uncomplicated respiratory tract infection in primary care,,,,,,,,,,,,,,,,,
37,0,1,Resistance during f/u not included,,NA,NA,NA,11266417,"Efficacy, safety and tolerability of 3 day azithromycin versus 10 day co-amoxiclav in the treatment of children with acute lower respiratory tract infections",,,,,,,,,,,,,,,,,
38,0,1,Resistance during f/u not included,,NA,NA,NA,11285152,Successful shortening from seven to four days of parenteral beta-lactam treatment for common childhood infections: a prospective and randomized study,,,,,,,,,,,,,,,,,
41,0,1,Resistance during f/u not included,,NA,NA,NA,11316178,"Long-Term treatment with cisapride and antibiotics in liver cirrhosis: effect on small intestinal motility, bacterial overgrowth, and liver function",,,,,,,,,,,,,,,,,
42,0,1,Resistance during f/u not included,,NA,NA,NA,11387706,[Treatment of group A streptococcal tonsillopharyngitis. 5 days cephalosporin is as effective as 10 days penicillin],,,,,,,,,,,,,,,,,
53,0,1,Resistance during f/u not included,,NA,NA,NA,11686426,Five days of cefprozil versus 10 days of clarithromycin in the treatment of an acute exacerbation of chronic bronchitis,,,,,,,,,,,,,,,,,
57,0,1,Resistance during f/u not included,,NA,NA,NA,11711256,"Tolerability of 3-day, once-daily azithromycin suspension versus standard treatments for community-acquired paediatric infectious diseases",,,,,,,,,,,,,,,,,
60,0,1,Resistance during f/u not included,,NA,NA,NA,11732026,"Postoperative antibiotic prophylaxis in mandibular fractures: A preliminary randomized, double-blind, and placebo-controlled clinical study",,,,,,,,,,,,,,,,,
64,0,1,Resistance during f/u not included,,NA,NA,NA,11740701,Clarithromycin versus azithromycin in the treatment of Mediterranean spotted fever in children: a randomized controlled trial,,,,,,,,,,,,,,,,,
65,0,1,Resistance during f/u not included,,NA,NA,NA,11755608,Once daily oral ofloxacin in chronic obstructive pulmonary disease exacerbation requiring mechanical ventilation: a randomised placebo-controlled trial,,,,,,,,,,,,,,,,,
69,0,1,Resistance during f/u not included,Resistance carriage not reported,NA,NA,NA,11815577,"Five day clarithromycin modified release versus 10 day penicillin V for group A streptococcal pharyngitis: A multi-centre, open-label, randomized study",,,,,,,,,,,,,,,,,
72,0,1,Resistance during f/u not included,,NA,NA,NA,11867823,Effect of long term treatment with azithromycin on disease parameters in cystic fibrosis: a randomised trial,,,,,,,,,,,,,,,,,
73,0,1,Resistance during f/u not included,,NA,NA,NA,11868759,Efficacy of short-course therapy with the ketolide telithromycin compared with 10 days of penicillin V for the treatment of pharyngitis/tonsillitis,,,,,,,,,,,,,,,,,
77,0,1,Resistance during f/u not included,,NA,NA,NA,11953726,Antibiotic prophylaxis in infants and young children with cystic fibrosis: a randomized controlled trial,,,,,,,,,,,,,,,,,
79,0,1,Resistance during f/u not included,,NA,NA,NA,11978253,Does amoxicillin improve outcomes in patients with purulent rhinorrhea? A pragmatic randomized double-blind controlled trial in family practice,,,,,,,,,,,,,,,,,
83,0,1,Resistance during f/u not included,,NA,NA,NA,12011543,Efficacy and tolerability of once-daily therapy with telithromycin for 5 or 10 days for the treatment of acute maxillary sinusitis,,,,,,,,,,,,,,,,,
87,0,1,Resistance during f/u not included,,NA,NA,NA,12022154,Tetracycline in the treatment of severe cholera due to Vibrio cholerae O139 Bengal,,,,,,,,,,,,,,,,,
88,0,1,Resistance during f/u not included,,NA,NA,NA,12064684,No advantage of treating acute respiratory tract infections with azithromycin in a placebo-controlled study,,,,,,,,,,,,,,,,,
89,0,1,Resistance during f/u not included,Only candida monitored for colonisation minitoring and not AMR,NA,NA,NA,12072669,Selective decontamination of the digestive tract to prevent postoperative infection: A randomized placebo-controlled trial in liver transplant patients,,,,,,,,,,,,,,,,,
96,0,1,Resistance during f/u not included,,NA,NA,NA,12161723,Short treatment durations for acute bacterial rhinosinusitis: Five days of gemifloxacin versus 7 days of gemifloxacin,,,,,,,,,,,,,,,,,
99,0,1,Resistance during f/u not included,,NA,NA,NA,12243918,Clinical efficacy of 3 days versus 5 days of oral amoxicillin for treatment of childhood pneumonia: a multicentre double-blind trial,,,,,,,,,,,,,,,,,
100,0,1,Resistance during f/u not included,,NA,NA,NA,12351592,"Prophylaxis of radiation-associated mucositis in conventionally treated patients with head and neck cancer: a double-blind, phase III, randomized, controlled trial evaluating the clinical efficacy of an antimicrobial lozenge using a validated mucositis sc",,,,,,,,,,,,,,,,,
102,0,1,Resistance during f/u not included,,NA,NA,NA,12405169,Seven days vs. 10 days ceftriaxone therapy in bacterial meningitis,,,,,,,,,,,,,,,,,
105,0,1,Resistance during f/u not included,,NA,NA,NA,12480424,"Comparison of single-dose azithromycin and 12-dose, 3-day erythromycin for childhood cholera: a randomised, double-blind trial",,,,,,,,,,,,,,,,,
109,0,1,Resistance during f/u not included,,NA,NA,NA,12526248,The treatment duration of acute maxillary sinusitis: how long should it be? A nasal smear controlled study,,,,,,,,,,,,,,,,,
113,0,1,Resistance during f/u not included,,NA,NA,NA,12645831,Oral gemifloxacin once daily for 5 days compared with sequential therapy with i.v. ceftriaxone/oral cefuroxime (maximum of 10 days) in the treatment of hospitalized patients with acute exacerbations of chronic bronchitis,,,,,,,,,,,,,,,,,
116,0,1,Resistance during f/u not included,,NA,NA,NA,12681877,A randomized clinical trial of prophylaxis for vacuum abortion: 3 versus 7 days of doxycycline,,,,,,,,,,,,,,,,,
117,0,1,Resistance during f/u not included,,NA,NA,NA,12685882,Ciprofloxacin for 2 or 4 weeks in the treatment of febrile urinary tract infection in men: a randomized trial with a 1 year follow-up,,,,,,,,,,,,,,,,,
118,0,1,Resistance during f/u not included,,NA,NA,NA,12697078,"Ertapenem versus piperacillin-tazobactam for treatment of mixed anaerobic complicated intra-abdominal, complicated skin and skin structure, and acute pelvic infections",,,,,,,,,,,,,,,,,
120,0,1,Resistance during f/u not included,,NA,NA,NA,12729423,"Duration of antibiotic therapy for early Lyme disease. A randomized, double-blind, placebo-controlled trial",,,,,,,,,,,,,,,,,
124,0,1,Resistance during f/u not included,,NA,NA,NA,12810429,Antibiotic treatment and long term prognosis of reactive arthritis,,,,,,,,,,,,,,,,,
125,0,1,Resistance during f/u not included,,NA,NA,NA,12847531,Pneumonia in term neonates: laboratory studies and duration of antibiotic therapy,,,,,,,,,,,,,,,,,
127,0,1,Resistance during f/u not included,,NA,NA,NA,12870368,Oral telithromycin 800 mg once daily for 5 days versus cefuroxime axetil 500 mg twice daily for 10 days in adults with acute exacerbations of chronic bronchitis,,,,,,,,,,,,,,,,,
131,0,1,Resistance during f/u not included,,NA,NA,NA,12942708,Efficacy of empirically prescribed amoxicillin and amoxicillin + clavulanic acid in children's reactive arthritis: a randomised trial,,,,,,,,,,,,,,,,,
133,0,1,Resistance during f/u not included,,NA,NA,NA,13678479,"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: results of a multicenter, double-blind, randomized study in adolescent and adult patients",,,,,,,,,,,,,,,,,
134,0,1,Resistance during f/u not included,,NA,NA,NA,14503094,Efficacy and tolerability of telithromycin for 5 or 10 days vs amoxicillin/clavulanic acid for 10 days in acute maxillary sinusitis,,,,,,,,,,,,,,,,,
135,0,1,Resistance during f/u not included,,NA,NA,NA,14526317,Duration of antibiotic therapy after preterm premature rupture of fetal membranes,,,,,,,,,,,,,,,,,
137,0,1,Resistance during f/u not included,Did not report resistance carriage/ in clinical isolates during follow up,NA,NA,NA,14583862,Once-Weekly Dalbavancin versus Standard-of-Care Antimicrobial Regimens for Treatment of Skin and Soft-Tissue Infections,,,,,,,,,,,,,,,,,
142,0,1,Resistance during f/u not included,,NA,NA,NA,14656841,"Penicillin for acute sore throat in children: randomised, double blind trial",,,,,,,,,,,,,,,,,
147,0,1,Resistance during f/u not included,,NA,NA,NA,14970093,Optimal duration of antibiotic therapy for uncomplicated urinary tract infection in older women: a double-blind randomized controlled trial,,,,,,,,,,,,,,,,,
148,0,1,Resistance during f/u not included,,NA,NA,NA,15000732,"Benzathine penicillin, metronidazole and benzyl penicillin in the treatment of tetanus: a randomized, controlled trial",,,,,,,,,,,,,,,,,
149,0,1,Resistance during f/u not included,,NA,NA,NA,15084807,Streptococcal-A tonsillopharyngitis: a 5-day course of cefuroxime axetil versus a 10-day course of penicillin V. results depending on the children's age,,,,,,,,,,,,,,,,,
153,0,1,Resistance during f/u not included,,NA,NA,NA,15128726,Improving appropriateness of antibiotic therapy: randomized trial of an intervention to foster reassessment of prescription after 3 days,,,,,,,,,,,,,,,,,
154,0,1,Resistance during f/u not included,Subsequent infection discontinuation group 56 (37.3) conventional group 46 (32.9) 0.425 but resistance not reported,NA,NA,NA,15136392,A randomized controlled trial of an antibiotic discontinuation policy for clinically suspected ventilator-associated pneumonia,,,,,,,,,,,,,,,,,
157,0,1,Resistance during f/u not included,,NA,NA,NA,15173031,"Impact of amoxicillin prophylaxis on the incidence, nature, and duration of bacteremia in children after intubation and dental procedures",,,,,,,,,,,,,,,,,
158,0,1,Resistance during f/u not included,,NA,NA,NA,15194131,Gatifloxacin 400 mg as a single shot or 200 mg once daily for 3 days is as effective as ciprofloxacin 250 mg twice daily for the treatment of patients with uncomplicated urinary tract infections,,,,,,,,,,,,,,,,,
159,0,1,Resistance during f/u not included,,NA,NA,NA,15211234,[Treatment of exacerbations of chronic obstructive pulmonary disease with pristinamycin],,,,,,,,,,,,,,,,,
161,0,1,Resistance during f/u not included,,NA,NA,NA,15214873,"Evaluation of 5-day therapy with telithromycin, a novel ketolide antibacterial, for the treatment of tonsillopharyngitis",,,,,,,,,,,,,,,,,
164,0,1,Resistance during f/u not included,,NA,NA,NA,15302637,Comparison of short-course (5 days) and standard (10 days) treatment for uncomplicated cellulitis,,,,,,,,,,,,,,,,,
165,0,1,Resistance during f/u not included,,NA,NA,NA,15303633,"A randomized, double-blind study comparing 5 days oral gemifloxacin with 7 days oral levofloxacin in patients with acute exacerbation of chronic bronchitis",,,,,,,,,,,,,,,,,
166,0,1,Resistance during f/u not included,,NA,NA,NA,15303634,Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin,,,,,,,,,,,,,,,,,
167,0,1,Resistance during f/u not included,,NA,NA,NA,15308521,"Three month treatment of reactive arthritis with azithromycin: a EULAR double blind, placebo controlled study",,,,,,,,,,,,,,,,,
170,0,1,Resistance during f/u not included,,NA,NA,NA,15361727,"Two dosages of clarithromycin for five days, amoxicillin/clavulanate for five days or penicillin V for ten days in acute group A streptococcal tonsillopharyngitis",,,,,,,,,,,,,,,,,
171,0,1,Resistance during f/u not included,,NA,NA,NA,15365537,Efficacy and safety of oral telithromycin once daily for 5 days versus moxifloxacin once daily for 10 days in the treatment of acute bacterial rhinosinusitis,,,,,,,,,,,,,,,,,
172,0,1,Resistance during f/u not included,,NA,NA,NA,15373886,Impact of regular attendance by infectious disease specialists on the management of hospitalised adults with community-acquired febrile syndromes,,,,,,,,,,,,,,,,,
173,0,1,Resistance during f/u not included,,NA,NA,NA,15381595,"Pulmonary complications following major head and neck surgery with tracheostomy: A prospective, randomized, controlled trial of prophylactic antibiotics",,,,,,,,,,,,,,,,,
177,0,1,Resistance during f/u not included,,NA,NA,NA,15569557,"Comparative efficacy of amoxicillin, cefuroxime and clarithromycin in the treatment of community -acquired pneumonia in children",,,,,,,,,,,,,,,,,
179,0,1,Resistance during f/u not included,,NA,NA,NA,15609652,[Feasibility of short-term antibiotic prophylaxis after pulmonary resection],,,,,,,,,,,,,,,,,
