No,PMID,title,year,journal,age_grp,interven,interven_type,blind_all,source_cont_required,source_cont_done,cond_specific,cond_cat,sterile_site,n_randomised,setting,country,income,short_protocol,long_protocol,short_actual,long_actual,rand_process,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,sample_size_calculated,didnotmeetcalculatedsamplesize,RoB2,n_short_randomised,n_long_randomised,n_analysed,n_adherent_short,n_adherent_long,shortXlong,longXshort,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,primary_outcome,combined_outcome,obj_outcome,abxpresc_outcome,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
45,25992746,Trial of short-course antimicrobial therapy for intraabdominal infection,2015,NEJM,adult,"receive antibiotics until 2 days after the resolution of fever, leukocytosis, and ileus, with a maximum of 10 days of therapy (control group), or to receive a fixed course of antibiotics (experimental group) for 4±1 calendar days",arbitrary durations,0,1,1,complicated intraabdominal infection and adequate source control,Abdominal infection,1,518,inpatient,USA,high,4,NA,4,8,simple randomization,difference,10,ITT,PP,0,0,NA,absolute difference,1,0,1,258,260,518,211,189,47,36,Medical chart,withdrew consent,investigator initiated,"clinical syndrome, culture",,various,various,1,30,NA,a surgical-site infection or recurrent intraabdominal infection developed or in whom death occurred within 30 days after the index source-control procedure,1,0,0,1,1,0,1,hospital los,22,22,1,
46,25760346,Antibiotic treatment of severe exacerbations of chronic obstructive pulmonary disease with procalcitonin: a randomized noninferiority trial,2015,Plos One,adult,"Patients randomized to the standard group continued antibiotic therapy for 10 days, whereas patients randomized to the PCT group either continued treatment for 10 days or stopped on Day 3, depending on their PCT levels, according to previously recommended cut-off values",inflammatory markers,0,0,NA,Severe Exacerbations of Chronic Obstructive Pulmonary Disease,Lower respiratory tract infection,0,183,inpatient,Italy,high,NA,NA,3,10,stratified randomisation,non-inferiority,15,ITT,none,1,1,long,absolute difference,1,1,0,93,90,178,45,90,43,0,Medical chart,loss to follow up,investigator initiated,clinical syndrome,all patients received a 3-day course of antibiotics (either amoxicillin plus clavulanate or quinolones),"amoxicillin plus clavulanate, quinolones","amoxicillin plus clavulanate, quinolones",0,180,"Follow-up visits were scheduled on Day 1, Day 3, and 6 months after discharge; telephone interviews were conducted at 2, 4, and 5 months after discharge.",rate of ECOPD at 6 months,0,0,0,1,0,0,1,hospital los,32,28,3,
47,25681965,Evaluation of duration of antibiotic therapy in neonatal bacterial meningitis: a randomized controlled trial,2015,J Tropical Paed,neonate,10 days (study group) or 14 days (control group) of antibiotics,arbitrary durations,0,0,NA,Meningitis,Meningitis,1,70,inpatient,India,lower middle,10,14,not reported,not reported,simple randomization,not reported,NA,ITT,none,0,NA,NA,absolute difference,0,1,0,35,35,70,35,35,Not reported,Not reported,Not reported,NA,investigator initiated,"clinical syndrome, culture",,various,various,1,28,treatment failure in each group within 28 days of enrolment,treatment failure in each group within 28 days of enrolment,0,0,0,1,0,0,0,0,0,0,0,
48,26248828,Can We Stop Antibiotic Therapy When Signs and Symptoms Have Resolved in Diabetic Foot Infection Patients?,2015,Int J Low Extrem Wounds,adult,continuing antibiotics group (CAG) and discontinuing antibiotics group,treatment protocol,0,1,1,Diabetic Foot Infection,Bone and prosthetics infection,1,375,inpatient,China,high middle,NA,NA,not reported,not reported,simple randomization,not reported,NA,ITT,none,0,NA,NA,absolute difference,0,NA,0,191,184,375,Not reported,Not reported,Not reported,Not reported,Not reported,NA,investigator initiated,"clinical syndrome, culture",,various,various,1,120,"Patients were followed-up as outpatients after discharge
 at 1week, 1 month, and 3 months, and the clinical outcomes",Not reported,0,0,0,1,0,0,0,0,29,16,0,Recurrence taken as clinical outcome
49,26288467,Comparative evaluation of 2 g single dose versus conventional dose azithromycin in uncomplicated skin and skin structure infections,2015,Indian J Pharmacol,adult,One group (n = 146) received 2 g single supervised dose while the other (n = 146) received conventional dose of 500 mg once daily for 5 days.,arbitrary durations,0,0,NA,Uncomplicated skin and skin structure infections,Skin and soft tissue infection,0,294,outpatient,India,lower middle,1,5,not reported,not reported,simple randomization,difference,NA,mITT,none,0,NA,NA,absolute difference,1,0,1,148,146,294,148,126,0,20,Direct observation,loss to follow up,investigator initiated,clinical syndrome,,Azithromycin,Azithromycin,0,7,Subjects were followed up on day 4 and day 8.,"Complete clinical cure implied complete healing of lesions, without residual signs or symptoms, within 7 days",0,0,0,1,0,0,1,0,2,1,0,
50,26695667,[Value of serum procalcitonin for the guidance of antibiotic therapy in children with lower respiratory tract infection],2015,Chin J Contemp Pediatr,children,antibiotic therapy was guided by serum PCT level,inflammatory markers,0,0,NA,LRTI,Lower respiratory tract infection,0,396,inpatient,China,high middle,NA,NA,4,6,simple randomization,not reported,NA,ITT,none,0,NA,NA,absolute difference,0,NA,0,198,198,396,Not reported,Not reported,Not reported,Not reported,Not reported,NA,investigator initiated,clinical syndrome,,various,various,0,14,,Not reported,0,0,0,1,0,0,1,hospital los,62,60,0,Hospitalisation taken as clinical end point
51,25294250,Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: the SOLO II noninferiority study,2015,CID,adult,single intravenous 1200-mg dose of oritavancin or 7–10 days of twice-daily vancomycin,arbitrary durations,1,0,NA,acute bacterial skin and skin structure infections,Skin and soft tissue infection,0,1019,inpatient,"India, Russia, Argentina, USA, Romania, Ukraine, Spain,Mexico, Israel (but majority from USA)","high, high middle, lower middle",1,8,1,8,stratified randomisation,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,1,0,1,509,510,1005,427,408,0,35,Medical chart,loss to follow up,The Medicines Company,clinical syndrome,,oritavancin,vancomycin,0,3,"primary composite endpoint at 48–72 hours (cessation of spreading or reduction in lesion size, absence of fever, and no rescue antibiotic)","primary composite endpoint at 48–72 hours (cessation of spreading or reduction in lesion size, absence of fever, and no rescue antibiotic)",1,0,0,1,0,0,1,0,20,17,0,
52,25414157,Six-week versus twelve-week antibiotic therapy for nonsurgically treated diabetic foot osteomyelitis: a multicenter open-label controlled randomized study,2015,Diabetes care,adult,comparing 6- versus 12-week duration of antibiotic treatment,arbitrary durations,0,0,NA,Nonsurgically Treated Diabetic Foot Osteomyelitis,Bone and prosthetics infection,1,40,inpatient,France,high,42,84,Not reported,Not reported,simple randomization,difference,NA,ITT,none,0,NA,NA,absolute difference,0,NA,0,20,20,40,Not reported,Not reported,Not reported,Not reported,Not reported,NA,investigator initiated,"clinical syndrome, culture","Rifampin was the antibiotic agent most frequently used (27 patients; 67.5%), followed by fluoroquinolone (especially levofloxacin) in 28 patients (70%).",various,various,1,365,"Remission of osteomyelitis during the monitoring period was defined as complete and persistent (>4 weeks) healing of the wound (if present initially), absence of recurrent infection at the initial site or that of adjacent rays, and no need for surgical bone resection or amputation at the end of a follow-up period of at least 12 months after completion of antibiotic treatment.","Remission of osteomyelitis during the monitoring period was defined as complete and persistent (>4 weeks) healing of the wound (if present initially), absence of recurrent infection at the initial site or that of adjacent rays, and no need for surgical bone resection or amputation at the end of a follow-up period of at least 12 months after completion of antibiotic treatment.",0,0,0,1,0,0,1,hospital los,40,30,0,
53,25263498,"Single-dose compared with multiple day antibiotic prophylaxis for cesarean section in low-resource settings, a randomized controlled, noninferiority trial",2015,Obs and Gynae,adult,single prophylactic dose of ampicillin combined with metronidazole to prevent postcesarean section infections compared with a multiple day regimen,arbitrary durations,0,0,NA,postcesarean section,Prophylaxis (post-surgery),0,181,inpatient,Tazania,lower middle,1 dose,5,Not reported,Not reported,simple randomization,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,1,0,1,89,87,176,Not reported,Not reported,Not reported,Not reported,Not reported,NA,investigator initiated,NA,,ampicillin and metronidazole,ampicillin and metronidazole,0,during hospitalisation,,maternal postcesarean infection,0,0,0,1,0,0,0,hospital los,7,10,0,
54,23989106,"Short-course antibiotic treatment for community-acquired alveolar pneumonia in ambulatory children: a double-blind, randomized, placebo-controlled trial",2014,Pediatric Infectious Disease Journal,children,clinical and laboratory outcomes of a 3-day or a 5-day to a 10-day treatment in young children with community-acquired alveolar pneumonia.,arbitrary durations,1,0,NA,CAP,Lower respiratory tract infection,0,22,outpatient,Israel,high,3,10,Not reported,Not reported,simple randomization,non-inferiority,10,PP,none,NA,1,Long,absolute difference,1,1,0,13,12,22,Not reported,Not reported,Not reported,Not reported,Not reported,"loss to follow up, protocol deviation",investigator initiated,clinical syndrome,,Amxocillin,Amxocillin,0,30,Scheduled visits were on days 4–5 and 10–14 with daily telephone interviews for 30 days.,need for a rescue treatment or hospitalization,1,0,0,1,0,0,0,0,40,0,0,
54,23989106,"Short-course antibiotic treatment for community-acquired alveolar pneumonia in ambulatory children: a double-blind, randomized, placebo-controlled trial",2014,Pediatric Infectious Disease Journal,children,clinical and laboratory outcomes of a 3-day or a 5-day to a 10-day treatment in young children with community-acquired alveolar pneumonia.,arbitrary durations,1,0,NA,CAP,Lower respiratory tract infection,0,115,outpatient,Israel,high,5,10,Not reported,Not reported,simple randomization,non-inferiority,10,PP,none,NA,0,NA,absolute difference,1,0,1,56,59,115,Not reported,Not reported,Not reported,Not reported,Not reported,"loss to follow up, protocol deviation",investigator initiated,clinical syndrome,,Amxocillin,Amxocillin,0,30,Scheduled visits were on days 4–5 and 10–14 with daily telephone interviews for 30 days.,need for a rescue treatment or hospitalization,1,0,0,1,0,0,0,0,0,0,0,
55,24035770,Short versus long course of antibiotics for catheter-associated urinary tract infections in patients with spinal cord injury: A randomized controlled noninferiority trial,2014,Archives of physical medicine and rehab,adult,5-day regimen of antibiotics after catheter exchange (experimental group) or a 10-day regimen of antibiotics with catheter retention (control group),arbitrary durations,0,1,0,catheter-associated urinary tract infection (CA-UTI) in patients with spinal cord injury,Urinary tract infection,0,61,inpatient,USA,high,5,10,Not reported,Not reported,simple randomization,non-inferiority,10,PP,none,NA,0,NA,absolute difference,1,0,1,28,27,55,Not reported,Not reported,Not reported,Not reported,Not reported,protocol deviation,investigator initiated,"clinical syndrome, culture","We standardized the choice of empirical antibiotics to include an oral fluoroquinolone (for gram-negative bacteria) and amoxicillin (for gram-positive bacteria, namely the enterococci). Patients who either were allergic to fluoroquinolone and penicillin or could not take oral antibiotics received intravenous aztreonam (for gram-negative bacteria) and vancomycin (for gram-positive bacteria). In selected patients with previous history of UTI caused by antibiotic-resistant organisms, empirical antibiotic regimens were chosen according to the previous culture results.",various,various,1,10,end of treatment,Clinical cure at the end of therapy,0,0,0,1,1,0,1,0,18,11,0,Comparing catheter removal in short arm and with retention in long arm
56,25331236,Antibiotic prophylaxis for transrectal prostate biopsy: a comparison of one-day and five-day regimen,2014,Niger Postgrad Med J,adult,"oral ciprofloxacin (500mg, 12 hourly) and oral metronidazole (400mg, 8 hourly) for 1 day while those in group II (N=45) received same antibiotic combination for 5 days.",arbitrary durations,0,0,NA,prostate transection,Prophylaxis (post-surgery),0,87,inpatient,Benin,lower middle,1,5,missing,missing,simple randomization,difference,NA,ITT,none,0,NA,NA,absolute difference,missing,missing,0,42,45,87,missing,missing,missing,missing,missing,missing,investigator initiated,NA,,"ciprofloxacin, metronidazole","ciprofloxacin, metronidazole",0,5,5 days after procedure,Post biopsy fever and positive urine cultures were indicative of infection.,0,0,0,1,1,0,0,0,21,18,0,only abstract available
57,24636266,Procalcitonin-guided antibiotic therapy in aspiration pneumonia and an assessment of the continuation of oral intake,2014,Respiratory invest,adult,different durations of antibiotic therapy based on the procalcitonin levels upon admission (procalcitonin group) or according to the standard guidelines (control group),inflammatory markers,0,0,NA,aspiration pneumonia,Lower respiratory tract infection,0,105,inpatient,Japan,high,NA,NA,5,8,simple randomization,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,1,0,1,53,52,96,Not reported,Not reported,Not reported,Not reported,Not reported,"withdrew consent, protocol deviation",investigator initiated,clinical syndrome,"In both groups, the choice of antibiotic regimen was left to the discretion of the treating physician.",various,various,0,30,relapse of aspiration pneumonia and death within 30 days,relapse of aspiration pneumonia and death within 30 days,0,0,0,1,0,0,0,0,25,38,16,
58,24909499,"Tedizolid for 6 days versus linezolid for 10 days for acute bacterial skin and skin-structure infections (ESTABLISH-2): a randomised, double-blind, phase 3, non-inferiority trial",2014,Lancet infectious disease,adult,"intravenous once-daily tedizolid (200 mg for 6 days) or twice-daily linezolid (600 mg for 10 days), with optional oral step-down",arbitrary durations,1,0,NA,acute bacterial skin and skin-structure infections,Skin and soft tissue infection,0,666,inpatient,"Argentina, Australia, Germany, New Zealand, Poland, Russia, South Africa, Spain, and the USA","high, high middle",6,10,Not reported,Not reported,stratified randomisation,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,1,0,1,332,334,666,290,298,11,23,Medical chart,"loss to follow-up, protocol deviation",Cubist Pharmaceuticals,"clinical syndrome, culture",,tedizolid,linezolid,1,3,early clinical response (≥20% reduction in lesion area at 48–72 h compared with baseline),early clinical response (≥20% reduction in lesion area at 48–72 h compared with baseline),0,0,0,1,0,0,1,0,15,17,0,
59,25130297,A randomized controlled clinical trial of levofloxacin 750 mg versus 500 mg intravenous infusion in the treatment of community-acquired pneumonia,2014,Diagn Microbiol Infect Dis,adult,levofloxacin 750 mg for 5 days versus 500 mg for 7-14 days intravenous (IV),arbitrary durations,0,0,NA,CAP,Lower respiratory tract infection,0,241,inpatient,China,high middle,5,7-14,5,9,simple randomization,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,0,NA,0,121,120,223,107,104,Not reported,not reported,Medical chart,"loss to follow-up, protocol deviation",Daichii,clinical syndrome,,levofloxacin ,levofloxacin ,0,28,7–14 days after last dose,cure  ,0,0,0,1,1,0,1,0,14,15,0,
60,25295709,Procalcitonin algorithm in critically ill adults with undifferentiated infection or suspected sepsis. A randomized controlled trial,2014,American Journal of Respiratory and Critical Care Medicine,adult,"PCT was measured daily while in the ICU. A PCT algorithm, including 0.1 ng/ml cut-off, determined antibiotic cessation.",inflammatory markers,0,0,NA,Undifferentiated Infection or Suspected Sepsis,Sepsis,0,400,ICU,Australia,high,NA,NA,9,11,stratified randomisation,superiority,NA,ITT,none,0,NA,NA,absolute difference,1,0,1,196,198,394,Not reported,Not reported,Not reported,Not reported,Medical chart,withdrew consent,investigator initiated,clinical syndrome,,various,various,1,28,cumulative number of antibiotics treatment days at Day 28,cumulative number of antibiotics treatment days at Day 28,0,1,1,1,1,0,0,hospital los,18,16,17,90 day all cause mortality taken as clinical outcome
61,24130347,Antibiotics versus conservative surgery for treating diabetic foot osteomyelitis: a randomized comparative trial,2013,Diabetes care,adult,"the antibiotics group (AG) and the surgical group (SG). Antibiotics
were given for a period of 90 days in the AG. Patients in the SG received conservative surgery with postoperative antibiotic treatment for 10 days.",arbitrary durations,0,1,0,diabetic Foot Infection,Bone and prosthetics infection,1,52,inpatient,Spain,high,10,90,Not reported,Not reported,simple randomization,difference,NA,mITT,none,0,NA,NA,absolute difference,0,NA,0,27,25,46,27,25,0,9,medical chart,loss to follow up,investigator initiated,"clinical syndrome, culture",three regimens: ciprofloxacin 500 mg b.i.d.; amoxicillin/clavulanic acid 875/125 mg b.i.d.; or trimethoprim 160 mg/sulfamethoxazole 800 mg b.i.d. The antibiotic regimen was modified according to the results of an antibiogram.,various,various,1,84,12 weeks after healing,healing,0,0,0,1,0,0,1,0,14,25,0,
62,23403680,Tedizolid phosphate vs linezolid for treatment of acute bacterial skin and skin structure infections: the ESTABLISH-1 randomized trial,2013,JAMA,adult,200 mg once daily dose of oral tedizolid phosphate for 6 days or 600 mg of oral linezolid every 12 hours for 10 days,arbitrary durations,1,1,1,acute bacterial skin and skin structure infections,Skin and soft tissue infection,0,667,inpatient,USA,high,6,10,Not reported,Not reported,stratified randomisation,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,1,0,1,332,335,667,279,280,not reported,not reported,Not reported,"loss to follow up, withdrew consent",Trius Therapeutics,"clinical syndrome, culture",,Tedizolid,Linezolid,0,3,early clinical response at the 48- to 72-hour assessment in the ITT analysis set,early clinical response at the 48- to 72-hour assessment in the ITT analysis set,0,0,0,1,0,0,1,0,30,30,0,
63,23936304,Procalcitonin guidance to reduce antibiotic treatment of lower respiratory tract infection in children and adolescents (ProPAED): a randomized controlled trial,2013,Plos One,children,receive antibiotics either according to a PCT guidance algorithm established for adult LRTI or standard care clinical guidelines,inflammatory markers,0,0,NA,LRTI,Lower respiratory tract infection,0,337,inpatient,Switzerland,high,NA,NA,5,6,stratified randomisation,difference,NA,ITT,none,0,NA,NA,absolute difference,1,0,1,168,169,337,Not reported,Not reported,Not reported,Not reported,Medical chart,NA,investigator initiated,clinical syndrome,,various,various,0,14,antibiotic prescibing rate within 14 days of randomization,"duration of antibiotic
 treatment, days",0,1,1,1,0,0,1,hospital los,62,60,0,hospitalisation taken as clinical end point
64,22760341,Comparison of clinical efficacy between 3-day combined clavulanate/ amoxicillin preparation treatment and 10-day amoxicillin treatment in children with pharyngolaryngitis or tonsillitis,2013,J infect chemo,children,3-day combined clavulanate/ amoxicillin preparation treatment and 10-day amoxicillin treatment,arbitrary durations,0,0,NA,"children with pharyngolaryngitis
or tonsillitis",Upper respiratory tract infection,0,119,outpatient,Japan,high,3,10,Not reported,Not reported,simple randomization,equivalence,not reported,ITT,none,0,NA,NA,absolute difference,0,NA,0,54,42,96,Not reported,Not reported,Not reported,Not reported,Not reported,NA,investigator initiated,clinical syndrome,"3-day treatment with a combined (Clavamox combination dry syrup for pediatric) at a dose level of 96.4 mg/kg/day (CVA 6.4 mg/kg/day, AMPC 90 mg/kg/day) in two divided doses
10-day treatment with AMPC (e.g., Widecillin, Sawacillin) at a dose level of 30 mg/kg/dayin three divided doses",amoxicillin plus clavulanate,amoxicillin,0,10,end of treatment,"Clinical efficacy was rated on a four-category scale
 (markedly effective, effective, slightly effective, or ineffective) using the Criteria for Judgment in Clinical Studies
 of Antimicrobial Drugs in the Field of Pediatrics",0,0,0,1,1,1,1,0,2,7,0,
65,23153410,Clinical impact of unsolicited post-prescription antibiotic review in surgical and medical wards: a randomized controlled trial,2013,Clin Microbiol Infect,adult,"systematic and unsolicited postprescription antibiotic review. Seven hundred and fifty-three adult patients receiving antibiotic therapy for 3–5 days were randomized to receive either a post-prescription review by the infectious disease physician (IDP), followed by a recommendation to the attending physician to modify the prescription when appropriate, or no systematic review of the prescription",ASP (ID physician or electronic programmes),0,0,NA,non-specific,non-specific,0,854,inpatient,France,high,NA,NA,6,7,simple randomization,superiority,NA,PP,none,NA,0,NA,absolute difference,1,0,1,424,430,753,376,377,0,11,Medical chart,protocol deviation,investigator initiated,clinical syndrome,,various,various,1,during hospitalisation,,length of hospital stay (the primary outcome),0,1,1,1,0,0,0,hospital los,10,10,10,60 days in hospital mortality taken as clinical end point
66,23010339,A pilot randomised controlled trial in intensive care patients comparing 7 days' treatment with empirical antibiotics with 2 days' treatment for hospital-acquired infection of unknown origin,2012,Health Technol Assess,adult,Broad-spectrum antibiotic treatment administered for 48 hours (experimental) compared with treatment for 7 days (control),arbitrary durations,0,0,NA,hospital-acquired infection of unknown origin,non-specific,0,46,ICU,UK,high,2,7,Not reported,Not reported,simple randomization,not reported,NA,ITT,none,0,NA,NA,absolute difference,1,0,0,23,23,46,23,22,0,3,Medical chart,NA,investigator initiated,clinical syndrome,Teicoplanin or meropenem,various,various,0,7,end of treatment,composite outcome of the rate of death or initiation of antibiotic therapy after the completion of the treatment schedule allocated at randomisation,1,0,0,1,0,0,1,"hospital los, direct costs, indirect costs",17,13,9,Need for further antibiotics taken as clinical outcome
67,22555328,[5 days Cefaclor vs. 10 days amoxicillin/clavulanate in the treatment of childhood streptococcal pharyngitis. Data from a randomized clinical trial],2012,Minerva Pediatr,children,"received Cefaclor, 50 mg/kg/day, administered twice daily for five days, whilst 213 children received amoxicillin/clavulanate 40 mg/kg/day administered twice daily for 10 days",arbitrary durations,0,0,NA,streptococcal pharyngitis,Upper respiratory tract infection,0,435,outpatient,Italy,high,5,10,missing,missing,missing,missing,missing,mITT,none,0,NA,NA,absolute difference,missing,missing,0,210,213,423,missing,missing,missing,missing,missing,missing,missing,missing,,cefaclor,amoxicillin/clavulanate,missing,missing,missing,eradication,0,1,0,1,1,0,missing,missing,8,3,0,only abstract available
68,22485232,Procalcitonin is a good tool to guide duration of antibiotic therapy in patients with severe acute pancreatitis. A randomized prospective single-center controlled trial.,2012,Saudi Med J,adult,"Antibiotic therapy in the study group was not applied until clinical signs and symptoms of infection appeared (PCT value was >0.5ng/ml). We discontinued the antibiotic therapy if clinical signs and symptoms of infection improved and PCT was <0.5ng/ml over 3 days. In the control group, antibiotic therapy was administrated for 2 weeks, or antibiotic therapy was continued because of confirmed infection until clinical signs and symptoms of infection disappeared over 3 days.",inflammatory markers,0,0,NA,severe acute pancreatitis,Abdominal infection,0,71,ICU,China,high middle,NA,14,11,16,simple randomization,not reported,NA,ITT,none,0,NA,NA,absolute difference,0,NA,0,35,36,71,Not reported,Not reported,Not reported,Not reported,Medical chart,NA,investigator initiated,clinical syndrome with laboratory test,,various,various,0,during hospitalisation,not stated,Not reported,0,0,0,1,0,0,0,"hospital los, direct costs",20,22,21,Case fatality taken as clinical outcome
69,23102084,A prospective randomized study to assess the optimal duration of intravenous antimicrobial prophylaxis in elective gastric cancer surgery,2012,Int Surg,adult,single-dose versus multiple-dose antimicrobial prophylaxis in terms of the incidence of surgical-site infection in gastric cancer surgery.,arbitrary durations,0,0,NA,prophylaxis in elective gastric cancer surgery,Prophylaxis (post-surgery),0,325,inpatient,Japan,high,1 dose,3,Not reported,Not reported,simple randomization,non-inferiority,8,ITT,none,0,NA,NA,absolute difference,1,0,1,164,161,325,Not reported,Not reported,Not reported,Not reported,Not reported,NA,investigator initiated,clinical syndrome,single-dose cefazolin (1 g) during surgery (single-dose group) or an additional 5 doses every 12 hours postoperatively (multiple-dose group).,cefazolin,cefazolin,0,30,30 days after the surgery,SSIs,0,0,0,1,1,0,0,0,9,6,0,
70,22726802,"Ciprofloxacin for 7 days versus 14 days in women with acute pyelonephritis: a randomised, open-label and double-blind, placebo-controlled, non-inferiority trial",2012,Lancet,adult,ciprofloxacin for 7 days and 14 days in women with community-acquired acute pyelonephritis.,arbitrary durations,1,0,NA,acute pyelonephritis,Urinary tract infection,0,248,outpatient,Sweden,high,7,14,Not reported,Not reported,simple randomization,non-inferiority,10,PP,none,NA,0,NA,absolute difference,1,0,1,83,73,156,Not reported,Not reported,Not reported,Not reported,Not reported,protocol deviation,investigator initiated,"clinical syndrome, culture",,Ciprofloxacin,Ciprofloxacin,1,60,"10–14 days after the end of treatment with ciprofloxacin. Since the second week of treatment was masked, each patient had to be seen at two early visits—ie, days 17–21 and 24–28. For patients given ciprofloxacin for 7 days, results from days 17–21 were used and, for those who were given a 14 day course, data from days 24–28 were used. Long-term outcome was assessed with a late follow-up visit on days 42–63.",compare the short-term clinical and bacteriological efficacy and safety of the two regimens,0,0,0,1,1,0,1,0,3,4,0,
71,22952580,Early-onset ventilator-associated pneumonia in adults randomized clinical trial: comparison of 8 versus 15 days of antibiotic treatment,2012,Plos One,adult,"All patients included in the study were treated with beta-lactams for 8 or 15 days combined with an aminoglycoside for the first 5 days (Table 4). In the event of a secondary pulmonary infection or the development of extrapulmonary infections, all antibiotics could be used according to the bacteriological data. Once the patient had been included in the protocol, BAL samples were taken for intubated patients prior to making any changes to antibiotic treatment (Table 5).",arbitrary durations,0,0,NA,Early-onset ventilator-associated pneumonia,Lower respiratory tract infection,0,225,ICU,France,high,8,15,8,13,stratified randomisation,equivalence,10,ITT,none,0,NA,NA,absolute difference,1,0,1,116,109,225,Not reported,Not reported,4,5,Medical chart,NA,investigator initiated,clinical syndrome,All patients included in the study were treated with beta-lactams for 8 or 15 days combined with an aminoglycoside for the first 5 day,various,various,1,90,clinical cure rate at day 21. The mortality rate was evaluated on days 21 and 90,clinical cure rate at day 21. The mortality rate was evaluated on days 21 and 90,0,0,0,1,1,0,1,1,15,16,8,
72,21620467,5 versus 10 days of treatment with ceftriaxone for bacterial meningitis in children: a double-blind randomised equivalence study,2011,Lacet,children,"randomly assigned children who were stable after 5 days of treatment, through site-balanced computer-generated allocation lists, to receive a further 5 days of ceftriaxone or placebo",arbitrary durations,1,0,NA,bacterial meningitis,Meningitis,0,1027,inpatient,"Bangladesh, Egypt, Malawi, Pakistan, and Vietnam","high middle, low",5,10,Not reported,Not reported,simple randomization,equivalence,1.5,PP,none,NA,0,NA,absolute difference,1,0,1,496,508,1004,Not reported,Not reported,Not reported,Not reported,Not reported,"loss to follow up, death, protocol deviation",investigator initiated,"clinical syndrome, culture",,ceftriaxone,ceftriaxone,1,40,"rate of bacteriological failure defined as positive cultures of cerebrospinal fluid or blood on days 6–40 for the originally identified organism or for H influenzae, S pneumoniae, or N meningitidis on days 6–40 in a patient from whom the first sample of cerebrospinal fluid had been culture negative",bacteriological failure or relapse,0,0,0,1,1,0,1,0,0,0,4,
73,21982465,Prospective randomized study of efficacy of 1-day versus 3-day antibiotic prophylaxis for preventing surgical site infection after coronary artery bypass graft,2011,J Formos Med Assoc,adult,efficacy of 1-day versus 3-day antibiotic prophylaxis in preventing surgical site infection (SSI) in patients undergoing coronary artery bypass graft,arbitrary durations,0,0,NA,surgical site infection after coronary artery bypass graft,Prophylaxis (post-surgery),0,231,inpatient,Taiwan,high,1,3,Not reported,Not reported,simple randomization,not reported,NA,ITT,PP,0,0,NA,absolute difference,1,1,0,120,111,231,80,70,41,0,Medical chart,NA,investigator initiated,NA,,cefazolin,cefazolin,NA,30,1 month after surgery,SSI,0,0,0,1,1,0,0,hospital los,11,7,1,
74,21959024,Procalcitonin measurements for guiding antibiotic treatment in pediatric pneumonia,2011,Respir Med,children,"PCT group did not receive antibiotics if their PCT level upon admission was <0.25 ng/mL, and those receiving antibiotics from the time of admission were treated until their PCT level was ≥ 0.25 ng/mL",inflammatory markers,0,0,NA,pneuncomplicated community-acquired pneumoniaumonia,Lower respiratory tract infection,0,319,inpatient,Italy,high,NA,NA,5,11,simple randomization,difference,NA,ITT,none,0,NA,NA,absolute difference,1,1,0,155,155,310,Not reported,Not reported,Not reported,Not reported,Medical chart,withdrew consent,investigator initiated,clinical syndrome,"Clarithromycin added in severe penumonia; in severe cases regardless of age, the recommended treatment is oral amoxicillin-clavulanate or intravenous (i.v.) cefotaxime plus oral or i.v. clarithomycin.","amoxicillin, clarithromycin","amoxicillin, clarithromycin",0,28,28 days after admission,lower antibiotic use,0,1,1,1,0,0,1,hospital los,1,4,0,Recurrence of respiratory symptoms as the clinical outcome
75,20972299,"Short course versus 7-day course of intravenous antibiotics for probable neonatal septicemia: A pilot, open-label, randomized controlled trial",2011,Indian Pediatr,neonate,short course of antibiotics (48 to 96 hours) and a standard course of antibiotics (7 days) for probable neonatal sepsis,arbitrary durations,0,0,NA,probable neonatal septicemia,Sepsis,0,52,inpatient,India,lower middle,2,7,Not reported,Not reported,stratified randomisation,not reported,NA,ITT,none,0,NA,NA,absolute difference,0,NA,0,26,26,52,25,25,0,0,Medical chart,loss to follow up,investigator initiated,clinical syndrome with laboratory test,Antibiotics were prescribed as per the policy prevalent in the unit at that time. ,various,various,1,15,"""Treatment failure"" defined as reappearance of signs suggestive of sepsis within 15 days of stopping antibiotics, supported by laboratory evidence and adjudicated by a blinded expert committee.",treatment failure,0,0,0,1,1,0,0,0,0,12,2,causes of sepsis (cultures) not reported
