"","PMID","PUI","Title","Publication.Year"
"902",2973595,NA,"[First-line treatment of febrile episodes in leukemia in adults. Randomized, multicenter study of ceftazidime in single antibiotic therapy versus a cefotaxime-amikacin combination]",1988
"903",3195780,NA,"Infection related to intravascular pressure monitoring: effects of flush and tubing changes",1988
"904",3068038,NA,"Effect of infusion rate on amphotericin B-associated febrile reactions",1988
"905",3054777,NA,"Ampicillin vs. placebo for Yersinia pseudotuberculosis infection in children",1988
"906",3421250,NA,"Ampicillin prophylaxis in preterm premature rupture of the membranes: a prospective randomized study",1988
"907",3059275,NA,"[Prophylactic systemic antibiotherapy with only ceftriaxone in neutropenic patients treated in a protected environment]",1988
"908",3052894,NA,"Comparative clinical and pharmacokinetic aspects of cefotetan versus cefoxitin plus metronidazole in vaginal hysterectomy",1988
"909",2971184,NA,"[Preventive action of an immunomodulator on respiratory infections in elderly subjects]",1988
"910",3041817,NA,"Cefoperazone plus piperacillin versus mezlocillin plus tobramycin as empiric therapy for febrile episodes in neutropenic patients",1988
"911",3391871,NA,"Efficacy and tolerability of erythromycin acistrate and erythromycin stearate in acute skin infections of patients with atopic eczema",1988
"912",3137036,NA,"Prospective randomized comparative trial of pefloxacin versus cotrimoxazole in the treatment of typhoid fever in adults",1988
"913",3287976,NA,"A multicenter comparative study of cefotetan once daily and cefoxitin thrice daily for the treatment of infections of the skin and superficial soft tissue",1988
"914",3287974,NA,"Comparative effectiveness and safety of cefotetan and cefoxitin as prophylactic agents in patients undergoing abdominal or vaginal hysterectomy",1988
"915",3043359,NA,"[Randomized trial of empirical antibiotic therapy in febrile episodes after bone marrow transplantation. Comparison of an aminoglycoside-beta lactam (tobramycin-ticarcillin) combination with 2 beta-lactam antibiotics (ticarcillin-latamoxef)]",1988
"916",3043355,NA,"[Multicenter study of the clinical efficacy and tolerance of roxithromicin compared to doxycycline in lower respiratory infections]",1988
"917",3043354,NA,"[Multicenter study of the clinical efficacy and tolerance of roxithromycin compared to erythromycin ethylsuccinate in lower respiratory tract infections]",1988
"918",3385871,NA,"Antibiotic prophylaxis in head and neck cancer surgery",1988
"919",3377459,NA,"Carumonam (Ro 17-2301; AMA-1080) compared with gentamicin for treatment of complicated urinary tract infections",1988
"920",3285883,NA,"Amoxycillin-clavulanic acid (Augmentin) versus metronidazole as prophylaxis in hysterectomy: a prospective, randomized clinical trial",1988
"921",3281463,NA,"Comparative study of cefotetan and cefoxitin in the treatment of intra-abdominal infections",1988
"922",3281462,NA,"Multicenter comparison of cefotetan and cefoxitin in the treatment of acute obstetric and gynecologic infections",1988
"923",3277760,NA,"Randomized study of six umbilical cord care regimens. Comparing length of attachment, microbial control, and satisfaction",1988
"924",3277588,NA,"Duration of preventive antibiotic administration for open extremity fractures",1988
"925",3051607,NA,"Controlled clinical trial of a regimen of two durations for the treatment of isoniazid resistant pulmonary tuberculosis",1988
"926",3351823,NA,"A comparison of cefonicid and cefoxitin for preventing infections after vaginal hysterectomy",1988
"927",3283093,NA,"A randomized double blind controlled trial comparing two amoxycillin regimens in the treatment of acute exacerbations of chronic bronchitis",1988
"928",2834996,NA,"Intranasal recombinant alfa-2b interferon treatment of naturally occurring common colds",1988
"929",3396492,NA,"Serum and tissue concentrations of cefoxitin and cefotaxime in women undergoing hysterectomy",1988
"930",3396485,NA,"Optimal duration of cefotaxime prophylaxis in abdominal and vaginal hysterectomy",1988
"931",3396475,NA,"Comparison of the antimicrobial prophylactic efficacy of cefotaxime and cephazolin in obstetric and gynaecological surgery. A randomised multicentre study",1988
"932",3369709,NA,"Kallikrein and antibiotics in the treatment of infertile men with genital tract infections",1988
"933",3286537,NA,"Two-day cefamandole versus five-day cephazolin prophylaxis in 965 total hip replacements. Report of a multicentre double blind randomised trial",1988
"935",3243093,NA,"Clinical comparison of once-daily cefadroxil and thrice-daily cefaclor in the treatment of streptococcal pharyngitis",1988
"936",3073045,NA,"Ceftriaxone in the treatment of bacterial meningitis in adults",1988
"937",3068610,NA,"Broncho-Vaxom in children with rhinosinusitis: a double-blind clinical trial",1988
"938",3065929,NA,"Intramuscular ceftriaxone versus ampicillin-chloramphenicol in childhood bacterial meningitis",1988
"939",2965135,NA,"Teicoplanin compared with vancomycin in methicillin-resistant Staphylococcus aureus infections: preliminary results",1988
"940",3658278,NA,"Single-dose cefazolin versus cefonicid for antibiotic prophylaxis in cesarean delivery",1987
"941",3323167,NA,"Roxithromycin in skin and soft tissue infections",1987
"942",2962087,NA,"[Preventive systemic antibiotherapy with ceftriaxone alone in neutropenic patients treated in a protected environment]",1987
"943",3323074,NA,"Ceftazidime in antibiotic prophylaxis for emergency cesarean section: a randomized prospective study",1987
"944",3319012,NA,"Double-blind study comparing aztreonam with placebo for prophylaxis of infection following prostatic surgery",1987
"945",3312207,NA,"Perioperative cefamandole prophylaxis against infections",1987
"946",3304929,NA,"[Ofloxacin in the therapy of Campylobacter pylori-positive duodenal ulcer. A prospective controlled randomized study]",1987
"947",3324523,NA,"[Amoxicillin in the treatment of asymptomatic bacteriuria in pregnancy--3g single dose versus 3 times 750mg 4-day therapy]",1987
"948",3118005,NA,"Pseudomonas aeruginosa as a primary pathogen in children with bacterial peritonitis",1987
"949",3311904,NA,"Single dose tetracycline in cholera",1987
"950",3307620,NA,"Failure of effervescent zinc acetate lozenges to alter the course of upper respiratory tract infections in Australian adults",1987
"952",3574819,NA,"Single-dose antibiotic prophylaxis in women undergoing vaginal hysterectomy",1987
"953",3572036,NA,"Comparison of two dosage schedules of doxycycline in children with rickettsial spotted fever",1987
"954",3309827,NA,"[Comparison of 3 antibiotics, cefaclor, josamycin and penicillin V in the treatment of acute throat infections. A multicenter study: 581 cases]",1987
"955",3304156,NA,"Ampicillin versus cefamandole as initial therapy for community-acquired pneumonia",1987
"956",3110441,NA,"Prospective evaluation of single and triple lumen catheters in total parenteral nutrition",1987
"957",3555057,NA,"Clinical efficacy of ciprofloxacin compared with placebo in bacterial diarrhea",1987
"958",3555041,NA,"Systemic treatment of cutaneous infections. A comparative study of ciprofloxacin and cefotaxime",1987
"959",3555040,NA,"Comparative, double-blind study of oral ciprofloxacin and intravenous cefotaxime in skin and skin structure infections",1987
"960",3548611,NA,"Imipenem (N-F-thienamycin) versus netilmicin plus clindamycin. A controlled and randomized comparison in intra-abdominal infections",1987
"961",3495027,NA,"Use of trimethoprim-sulfamethoxazole in a glucose-6-phosphate dehydrogenase-deficient population",1987
"962",3300120,NA,"Stratified duration of prophylactic antimicrobial treatment in emergency abdominal surgery. Metronidazole-fosfomycin vs. metronidazole-gentamicin in 381 patients",1987
"963",3103245,NA,"A comparison of cefotaxime versus cefamandole in prophylaxis for surgical treatment of the biliary tract",1987
"964",3471181,NA,"Coagulopathy associated with extended-spectrum cephalosporins in patients with serious infections",1987
"965",3561330,NA,"Randomised study of ticarcillin, cefamandole with or without tobramycin in febrile, neutropenic patients with solid tumors",1987
"966",3538962,NA,"Oral norfloxacin for prevention of gram-negative bacterial infections in patients with acute leukemia and granulocytopenia. A randomized, double-blind, placebo-controlled trial",1987
"967",3501750,NA,"Ofloxacin versus trimethoprim-sulphamethoxazole in acute cystitis",1987
"968",3331039,NA,"Imipenem/cilastatin versus aminoglycoside plus amoxicillin plus clindamycin in the treatment of serious postoperative infections",1987
"969",3325260,NA,"Clinical efficacy of ofloxacin in lower respiratory tract infections. A multicentre study",1987
"970",3297528,NA,"Pulmonary tuberculosis treated with isoprodian and rifampicin or pyrazinamide",1987
"971",3118453,NA,"Antibiotic therapy in pneumonia: a comparative study of parenteral and oral administration of penicillin",1987
"972",3543037,NA,"[Value of short prophylactic antibiotherapy in thoracic and vascular surgery. Comparative randomized double-blind study of 3 and 8 injections of cefamandole]",1986
"973",3804884,NA,"Randomised comparison of ceftriaxone and cefamandole therapy in lower respiratory tract infections in an elderly population",1986
"974",3535134,NA,"A comparison of piperacillin, cephalothin and cefoxitin in the prevention of postoperative infections in patients undergoing vaginal hysterectomy",1986
"975",3534198,NA,"Glycine-based oral rehydration solution: reassessment of safety and efficacy",1986
"976",3535687,NA,"Erythromycin versus tetracycline for treatment of Mediterranean spotted fever",1986
"977",3491791,NA,"Prevention of infection in acute leukemia: a prospective randomized study on the efficacy of two different drug regimens for antimicrobial prophylaxis",1986
"978",3524511,NA,"Cefoxitin plus tobramycin and clindamycin plus tobramycin. A prospective randomized comparison in the therapy of mixed aerobic/anaerobic infections",1986
"979",3488385,NA,"Early treatment with erythromycin of Campylobacter jejuni-associated dysentery in children",1986
"980",3726718,NA,"A prospective randomized study of moxalactam versus gentamicin and clindamycin in penetrating abdominal trauma",1986
"981",3725653,NA,"Cefotaxime vs. conventional therapy for the treatment of bacterial meningitis of infants and children",1986
"982",3524225,NA,"Relationship of staphylococcal tolerance, teichoic acid antibody, and serum bactericidal activity to therapeutic outcome in Staphylococcus aureus bacteremia",1986
"983",2943703,NA,"Effect of boiled-rice feeding in childhood cholera on clinical outcome",1986
"984",3520469,NA,"Comparative effectiveness of amoxicillin and amoxicillin-clavulanate potassium in acute paranasal sinus infections in children: a double-blind, placebo-controlled trial",1986
"985",3089939,NA,"Laminar air flow isolation and decontamination: a prospective randomized study of the effects of prophylactic systemic antibiotics in bone marrow transplant patients",1986
"986",2871788,NA,"Long-term follow-up of a clinical trial of six-month and four-month regimens of chemotherapy in the treatment of pulmonary tuberculosis. Singapore Tuberculosis Service/British Medical Research Council",1986
"987",3805797,NA,"Experience with multidrug therapy in paucibacillary leprosy",1986
"988",3543161,NA,"Limited duration acedapsone prophylaxis in leprosy",1986
"989",3518625,NA,"Comparative efficacies of single intravenous doses of ceftriaxone and ampicillin for shigellosis in a placebo-controlled trial",1986
"990",3515952,NA,"Cefotetan versus cefoxitin as prophylaxis in hysterectomy",1986
"991",2941290,NA,"Ciprofloxacin in the treatment of acute bacterial diarrhea: a double blind study",1986
"992",3513346,NA,"Randomized, comparative trial of imipenem/cilastatin and moxalactam in the treatment of serious obstetric and gynecologic infections",1986
"993",2868173,NA,"A scoring method (ASEPSIS) for postoperative wound infections for use in clinical trials of antibiotic prophylaxis",1986
"994",3955779,NA,"Comparative clinical evaluation of ceftriaxone in treating lower respiratory tract infections",1986
"995",3512420,NA,"Efficacy of oral treatment with acyclovir and co-trimoxazole in first episode genital herpes",1986
"996",3781700,NA,"Possibility of interaction among antibiotics and mucolytics in children",1986
"997",3510320,NA,"Short-term prophylactic antibiotics in patients undergoing prostatectomy: report of a double-blind randomized trial with 2 intravenous doses of cefotaxime",1986
"998",3492358,NA,"A comparative study of cefadroxil and co-trimoxazole in patients with lower respiratory tract infections",1986
"999",3102167,NA,"A comparison of the new topical antibiotic mupirocin ('Bactroban') with oral antibiotics in the treatment of skin infections in general practice",1986
"1000",3087620,NA,"Effect of oral penicillin on pneumococcal carriage in elderly men with chronic bronchitis",1986
"1001",3079625,NA,"A double-blind, controlled comparison of piperacillin and cefoxitin in the prevention of postoperative infection in patients undergoing cesarean section",1986
"1002",3027884,NA,"Evidence of tinidazole interference in the oropharyngeal inflammatory process during infectious mononucleosis",1986
"1003",3935203,NA,"Clinical trial of berberine in acute watery diarrhoea",1985
"1004",2868040,NA,"Does antibiotic prophylaxis at the time of catheter insertion reduce the incidence of catheter-related sepsis in intravenous nutrition?",1985
"1005",4073078,NA,"Ticarcillin plus clavulanic acid versus moxalactam in the treatment of skin and soft tissue infections",1985
"1006",3937403,NA,"24-hour systemic antimicrobial prophylaxis with gentamicin and metronidazole, or metronidazole alone, in elective colorectal surgery after mechanical bowel preparation with mannitol and whole gut irrigation",1985
"1007",3909321,NA,"Comparison of aztreonam and tobramycin in the treatment of lower respiratory tract infections caused by gram-negative bacilli",1985
"1008",3903647,NA,"Oral trimethoprim/sulfamethoxazole for prevention of bacterial infection during the induction phase of cancer chemotherapy in children",1985
"1009",3914473,NA,"Prophylactic antibiotics in patients undergoing total vaginal or abdominal hysterectomy",1985
"1010",3900837,NA,"Comparison of intravenous administration with intrauterine irrigation with ceforanide for nonelective cesarean section",1985
"1011",3906875,NA,"[Which is the best drug combination for the short-term therapy of tuberculosis? A prospective randomized study with 190 patients]",1985
"1012",4073858,NA,"Comparison of ceftriaxone and ampicillin plus chloramphenicol for the therapy of acute bacterial meningitis",1985
"1013",3927210,NA,"A comparative trial of cefazolin and moxalactam as prophylaxis for preventing infection after abdominal hysterectomy",1985
"1014",3893387,NA,"Stratified outcome comparison of clindamycin-gentamicin vs chloramphenicol-gentamicin for treatment of intra-abdominal sepsis",1985
"1015",3901207,NA,"Prospective randomized comparison of imipenem/cilastatin and cefotaxime for treatment of lung, soft tissue, and renal infections",1985
"1016",3891203,NA,"Twice-daily moxalactam versus gentamicin and clindamycin in patients with penetrating abdominal trauma",1985
"1017",2862713,NA,"Ceftazidime compared with gentamicin and carbenicillin in patients with cystic fibrosis, pulmonary pseudomonas infection, and an exacerbation of respiratory symptoms. British Thoracic Society Research Committee",1985
"1018",3979291,NA,"[Prophylactic immunoglobulin administration after major gastric resections. A prospective randomized study]",1985
"1019",3919579,NA,"Prospective randomized trial of antibiotic prophylaxis in acute leukemia",1985
"1021",2860181,NA,"Antiseptic vs. saline lavage in purulent and faecal peritonitis",1985
"1022",3886564,NA,"Clinical evaluation of cefotiam and cefamandole in respiratory tract infections",1985
"1023",3881598,NA,"Therapy of symptomatic pyelonephritis in women",1985
"1024",4048752,NA,"[Comparative clinical trial of cefoperazone versus ampicillin + tobramycin in severe bronchopulmonary and pleural infectious pathology]",1985
"1025",3909167,NA,"Peri-operative infection prophylaxis with ornidazole and gentamicin in elective colonic surgery",1985
"1026",2981292,NA,"Co-trimoxazole prophylaxis during high-dose chemotherapy of small-cell lung cancer",1985
"1027",2414844,NA,"Transurethral versus transvesical prostatectomy. Physiological strain",1985
"1028",6097117,NA,"Comparative evaluation of cefmenoxime versus cefoxitin in serious infections",1984
"1029",6395279,NA,"Comparative studies of multiple-dose cefoxitin vs. single-dose cefonicid for surgical prophylaxis in patients undergoing biliary tract operations or hysterectomy",1984
"1030",6482920,NA,"Risk of infection after penetrating abdominal trauma",1984
"1031",6386819,NA,"Prophylactic cefamandole in orthopaedic surgery",1984
"1032",6384419,NA,"A randomized, controlled trial of doxycycline in the treatment of acute bronchitis",1984
"1033",6427533,NA,"Acute cystitis: a prospective study of laboratory tests and duration of therapy",1984
"1034",6712032,NA,"Doxycycline therapy for leptospirosis",1984
"1035",6375370,NA,"Cotrimoxazole prophylaxis in patients with leukemia and prolonged granulocytopenia",1984
"1036",6329092,NA,"Comparative efficacies of pivmecillinam and ampicillin in acute shigellosis",1984
"1037",6323667,NA,"Efficacy of topical antibiotic therapy in acute conjunctivitis in children",1984
"1038",6230648,NA,"[Single-dose preventive treatment of urinary tract infections after endoscopic resection of the prostate]",1984
"1039",6363740,NA,"Prophylactic sulfamethoxazole and trimethoprim in ventriculoperitoneal shunt surgery. A double-blind, randomized, placebo-controlled trial",1984
"1040",6608581,NA,"Moxalactam therapy of Haemophilus influenzae type b meningitis in children",1984
"1041",6373481,NA,"[Advantages and hazards of preventing infection following cesarean section--clinical and bacteriologic results of a high-dosage treatment with mezlocillin and oxacillin short-term preventive following clamping of the umbilical cord]",1984
"1042",6364908,NA,"Risk factors for nephrotoxicity in patients treated with aminoglycosides",1984
"1043",6202753,NA,"Oral ketoconazole and amphotericin B for the prevention of yeast colonization in patients with acute leukaemia",1984
"1044",6494811,NA,"Comparative study of netilmicin/tinidazole versus netilmicin/clindamycin in the treatment of severe abdominal infections",1984
"1045",6363154,NA,"A clinical trial of co-trimazine (sulfadiazine + trimethoprim) in flare-ups of chronic bronchitis",1984
"1046",6658432,NA,"[Pyrazinamide versus ethambutol in short-term therapy of lung tuberculosis. A randomized study]",1983
"1047",6363696,NA,"Perioperative use of cefoxitin in primary cesarean section",1983
"1048",6363670,NA,"Antibiotic management of complicated appendicitis",1983
"1049",6357037,NA,"The place of antibiotics in preventing wound infection after clean operations in an Indian hospital: a prospective, randomised, controlled clinical trial",1983
"1050",6355318,NA,"Selective intrapartum chemoprophylaxis of neonatal group B streptococcal early-onset disease. III. Interruption of mother-to-infant transmission",1983
"1051",6643334,NA,"A prospective, randomized study of amikacin and gentamicin in serious infections with focus on efficacy, toxicity and duration of serum levels above the MIC",1983
"1052",6606393,NA,"Comparison of moxalactam and gentamicin in the treatment of complicated urinary tract infections",1983
"1053",6361251,NA,"Effects of antibiotic prophylaxis on women undergoing nonelective cesarean section in a community hospital",1983
"1054",6350743,NA,"The effect of chest radiographs on the management and clinical course of patients with acute cough",1983
"1055",6351390,NA,"Study of chemotherapy regimens of 5 and 7 months' duration and the role of corticosteroids in the treatment of sputum-positive patients with pulmonary tuberculosis in South India",1983
"1056",6133153,NA,"Randomised, controlled trial of the comparative efficacy, auditory toxicity, and nephrotoxicity of tobramycin and netilmicin",1983
"1057",6404238,NA,"Acute nonperforating appendicitis. Efficacy of brief antibiotic prophylaxis",1983
"1058",6352603,NA,"Comparative efficacy and tolerance study of azlocillin and carbenicillin in patients with cystic fibrosis: a double blind study",1983
"1059",6851752,NA,"[Infection prevention in elective large intestine surgery. Results of a prospective randomized comparative study]",1983
"1060",6842003,NA,"Selective antimicrobial modulation as prophylaxis against infection during granulocytopenia: trimethoprim-sulfamethoxazole vs. nalidixic acid",1983
"1061",6220603,NA,"Prospective randomized double-blind comparison of moxalactam and tobramycin in treatment of urinary tract infections",1983
"1062",6600579,NA,"Erythromycin in treatment of Campylobacter enteritis in children",1983
"1063",6337473,NA,"Treatment of Campylobacter-associated enteritis with erythromycin",1983
"1064",6337491,NA,"Short-term antibiotic prophylaxis in high-risk patients following cesarean section",1983
"1065",6336898,NA,"Multicenter comparison of cefoxitin versus cefazolin for prevention of infectious morbidity after nonelective cesarean section",1983
"1066",6340504,NA,"Controlled comparison of gentamicin and tobramycin nephrotoxicity",1983
"1067",6336865,NA,"Metronidazole in the treatment of intra-abdominal sepsis",1983
"1068",6336641,NA,"Bicozamycin, a poorly absorbable antibiotic, effectively treats travelers' diarrhea",1983
"1069",6751182,NA,"Combination antimicrobial therapy for Staphylococcus aureus endocarditis in patients addicted to parenteral drugs and in nonaddicts: A prospective study",1982
"1070",6760146,NA,"Duration of effusion after antibiotic treatment for acute otitis media: comparison of cefaclor and amoxicillin",1982
"1071",7045754,NA,"Antibiotic prophylaxis for abdominal hysterectomy",1982
"1072",6214996,NA,"Randomized comparative study of moxalactam and cefazolin in the treatment of acute urinary tract infections in adults",1982
"1073",6177846,NA,"The use of an antihistamine-decongestant in conjunction with an anti-infective drug in the treatment of acute otitis media",1982
"1074",6813805,NA,"Prophylactic perioperative antibiotics in contaminated head and neck surgery",1982
"1075",7103445,NA,"Penetration of ceforanide and cefamandole into the right atrial appendage, pericardial fluid, sternum, and intercostal muscle of patients undergoing open heart surgery",1982
"1076",7051247,NA,"Treatment of experimentally induced enterotoxigenic Escherichia coli diarrhea with trimethoprim, trimethoprim-sulfamethoxazole, or placebo",1982
"1077",7039378,NA,"Prospective, randomized, controlled trial of ticarcillin and cephalothin as prophylactic antibiotics for gastrointestinal operations",1982
"1078",6981167,NA,"Treatment of concomitant Neisseria gonorrhoeae and Chlamydia trachomatis infections in women: comparison of trimethoprim-sulfamethoxazole with ampicillin-probenecid",1982
"1079",7055433,NA,"Duration of preventive antibiotic administration for penetrating abdominal trauma",1982
"1080",7036354,NA,"Clindamycin versus nafcillin or methicillin in the treatment of Staphylococcus aureus osteomyelitis in children",1982
"1081",6802085,NA,"Comparative study of cefamandole versus ampicillin plus cloxacillin: prophylactic antibiotics in cardiac surgery",1982
"1082",6119512,NA,"Double-blind placebo controlled trial of erythromycin for treatment of Campylobacter enteritis",1982
"1083",6756632,NA,"Use of antibiotic prophylaxis in penetrating abdominal trauma",1982
"1084",6754120,NA,"Efficacy of various durations of isoniazid preventive therapy for tuberculosis: five years of follow-up in the IUAT trial. International Union Against Tuberculosis Committee on Prophylaxis",1982
"1085",7315901,NA,"Selection of patients for antibiotic prophylaxis in cesarean sections",1981
"1087",7025769,NA,"Effect of prophylactic antibiotics in acute nonperforated appendicitis: a prospective, randomized, double-blind clinical study",1981
"1088",7271091,NA,"Therapy for nongonococcal urethritis: double-blind randomized comparison of two doses and two durations of minocycline",1981
"1089",6115104,NA,"Renal toxicity during therapy with gentamicin or tobramycin",1981
"1090",7272896,NA,"Protected environment - prophylactic antibiotic program for malignant sarcomas: randomized trial during remission induction chemotherapy",1981
"1091",7294770,NA,"Comparative nephrotoxicity of gentamicin and tobramycin: pharmacokinetic and clinical studies in 201 patients",1981
"1092",7224204,NA,"Failure of bacterial filters to reduce the incidence of pneumonia after inhalation anesthesia",1981
"1093",6166128,NA,"Pepsin-treated human gamma globulin in bacterial infections. A randomized study in patients with septicaemia and pneumonia",1981
"1094",7022973,NA,"Ethambutol plus isoniazid for the treatment of pulmonary tuberculosis--a controlled trial of our regimens",1981
"1095",6262930,NA,"[Parietal complications of cholecystectomy : results of prophylactic antibiotic therapy with cefazoline (author's transl)]",1981
"1096",7028636,NA,"Short-term treatment of lower urinary tract infections in children with trimethoprim/sulphadiazine",1981
"1097",7021263,NA,"Prospective clinical trial on the efficacy of amoxycillin administered twice or four times daily in children with respiratory tract infections",1981
"1098",7016626,NA,"The treatment of urinary tract infections in out-patients A double-blind comparison between trimethoprim and nitrofurantoin",1981
"1099",7006381,NA,"Comparative toxicities of methicillin and nafcillin",1981
"1100",6161804,NA,"ERCP: Complications and prophylaxis a controlled study",1981
"1101",7222872,NA,"[Perioperative metronidazole-prophylaxis for cesarian section (author's transl]",1980
"1102",6997516,NA,"Metronidazole for vaginal trichomoniasis. Seven-day vs single-dose regimens",1980
"1103",7000227,NA,"Prophylactic metronidazole in appendicectomy: a controlled trial",1980
"1104",6996625,NA,"Prospective, randomized, double-blind comparison of metronidazole and tobramycin with clindamycin and tobramycin in the treatment of intra-abdominal sepsis",1980
"1105",7375236,NA,"Treatment of Salmonella gastroenteritis with ampicillin, amoxicillin, or placebo",1980
"1106",6992570,NA,"Carbenicillin-trimethoprim/sulfamethoxazole versus carbenicillin-gentamicin as empiric therapy of infection in granulocytopenic patients. A prospective, randomized, double-blind study",1980
"1107",6102677,NA,"Intraventricular gentamicin therapy in gram-negative bacillary meningitis of infancy. Report of the Second Neonatal Meningitis Cooperative Study Group",1980
"1108",7447362,NA,"Prophylactic antibiotics in Caesarean section: effect of a short preoperative course of benzyl penicillin or clindamycin plus gentamicin on postoperative infectious morbidity",1980
"1109",7364818,NA,"Prophylactic antibiotics in hip fractures. A double-blind, prospective study",1980
"1110",7429005,NA,"Erythromycin infusions for treatment of infections in the ear, nose and throat region",1980
"1111",7389382,NA,"A comparison of two different dosages of pivampicillin and doxycycline in patients with gynaecological infections",1980
"1112",7372355,NA,"Treatment of salpingitis with pivampicillin. A comparison of twice-daily and thrice-daily dosages",1980
"1113",6993109,NA,"Comparison of sulphadiazine-trimethoprim and sulphamethoxazole-trimethoprim in the treatment of acute respiratory tract infections. Randomized double-blind trial",1980
"1114",6987112,NA,"Preliminary results of a clinical trial relative to the use of rifamycin SV in the treatment of herpes zoster",1980
"1115",6986082,NA,"The incidence of cancer among participants in controlled, randomized isoniazid preventive therapy trial",1980
"1116",6779371,NA,"Treatment of anginose infectious mononucleosis with metronidazole. A controlled clinical and laboratory study",1980
"1117",380336,NA,"Duration of empiric antibiotic therapy in granulocytopenic patients with cancer",1979
"1118",314777,NA,"Ampicillin dosage in bacterial meningitis with special reference to Haemophilus influenzae",1979
"1119",380595,NA,"[Treatment of typhoid fever with chloramphenicol or ampicillin combined with oxyphenbutazone]",1979
"1120",379369,NA,"Bacteriuria during closed urinary drainage: an evaluation of top-vented versus bag-vented systems",1979
"1121",380735,NA,"Intrarectal metronidazole in the prevention of anaerobic infections after emergency appendicectomy: a controlled clinical trial",1979
"1122",378140,NA,"Prophylactic and preventive antibiotic therapy: timing, duration and economics",1979
"1123",368364,NA,"Antimicrobial vs placebo prophylaxis in noncardiac thoracic surgery",1979
"1124",371741,NA,"Randomized controlled trial of cefuroxime for established postoperative respiratory infection",1979
"1125",400931,NA,"Comparative studies of cefoxitin and cephalothin: an overview",1979
"1126",389827,NA,"A double-blind comparison of the clinical tolerance of bacampicillin and pivampicillin. A preliminary report",1979
"1127",385400,NA,"A placebo controlled, double-blind evaluation of levamisole in the reduction of the frequency, duration and severity of attacks in children suffering from recurrent upper respiratory tract infections",1979
"1128",380912,NA,"Levamisole (R 12564) in the prevention of recurrent upper respiratory tract infections in children: a double-blind, placebo-controlled study",1979
"1129",84532,NA,"Protected environment-prophylactic antibiotic program for malignant lymphoma. Randomized trial during chemotherapy to induce remission",1979
"1130",733132,NA,"Infectious morbidity following cesarean section. Comparison of two treatment regimens",1978
"1131",355879,NA,"Efficacy of chest physiotherapy and intermittent positive-pressure breathing in the resolution of pneumonia",1978
"1132",708024,NA,"Single-dose doxycycline for cholera",1978
"1133",79761,NA,"Co-trimoxazole for prevention of infection in acute leukaemia",1978
"1134",371318,NA,"Septic complications in colo-rectal surgery after 24 hours versus 60 hours of preoperative antibiotic bowel preparation. I. Prospective, randomized, double-blind clinical study",1978
"1135",350565,NA,"Tinidazole and metronidazole in hepatic amoebiasis",1978
"1136",333607,NA,"Open-heart surgery",1977
"1137",852337,NA,"Short-duration treatment of pulmonary tuberculosis",1977
"1138",839852,NA,"Antibiotic prophylaxis for open-heart surgery",1977
"1139",322789,NA,"The treatment of acute superficial abscesses: a prospective clinical trial",1977
"1140",321709,NA,"A double-blind comparison of clindamycin with penicillin plus chloramphenicol in treatment of septic abortion",1977
"1141",402697,NA,"Penicillin V therapy for streptococcal pharyngitis: comparison of dosage schedules",1977
"1142",62992,NA,"Comparative efficacy of chloramphenicol, ampicillin, and co-trimoxazole in the treatment of typhoid fever",1976
"1143",786428,NA,"Randomised controlled trial of antibiotics in patients with cough and purulent sputum",1976
"1144",787449,NA,"A randomized, comparative study of tobramycin and gentamicin in treatment of acute urinary tract infections",1976
"1145",820813,NA,"Nutritional status: a determinant of severity of diarrhea in patients with cholera",1976
"1146",1262715,NA,"Yersinia pestis infection in Vietnam. II. Quantiative blood cultures and detection of endotoxin in the cerebrospinal fluid of patients with meningitis",1976
"1147",1252882,NA,"Comparative double-blind study of cephalexin and co-trimoxazole in urinary tract infections",1976
"1148",781965,NA,"A comparative study of daily and twice-weekly continuation regimens of tuberculosis chemotherapy, including a comparison of two durations of sanatorium treatment",1976
"1149",1088099,NA,"Doxycycline in the treatment of cholera",1976
"1150",1067690,NA,"[Antibiotic prophylaxis in intensive care patients]",1976
"1151",790146,NA,"Early consolidation chemotherapy for adults with acute leukemia in remission",1976
"1152",127815,NA,"Comparison of trimethoprim-sulfamethoxazole and amoxicillin in therapy of chloramphenicol-resistant and chloramphenicol-sensitive typhoid fever",1975
"1153",2098,NA,"Lactulose therapy in Shigella carrier state and acute dysentery",1975
"1154",1095132,NA,"Duration of treatment for urinary tract infections in children",1975
"1155",1130885,NA,"Incidence and significance of intraperitoneal anaerobic bacteria",1975
"1156",1095307,NA,"A controlled trial of bromhexine ('Bisolvon') in out-patients with chronic bronchitis",1975
"1157",4578361,NA,"A comparative study of daily and twice-weekly continuation regimens of tuberculosis chemotherapy, including a comparison of two durations of sanatorium treatment. 2. Second report: the results from 12 to 24 months",1973
"1158",4936576,NA,"Effect of chemotherapy on the duration of diarrhoea, and on vibrio excretion by cholera patients",1971
"1159",4947492,NA,"A comparative study of daily and twice-weekly continuation regimens of tuberculosis chemotherapy, including a comparison of two durations of sanatorium treatment. 1. First report: the results at 12 months",1971
"1160",4873660,NA,"Controlled comparison of tetracycline and furazolidone in cholera",1968
"1161",34251097,NA,"[Phenazopyridine and fosfomycin for the acute cystitis treatment: results of multicenter randomized study]",2021
